Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, 
0, 0.833333, 0.145182, 0.140365, 0.136979, 0.134288, 0.132378, 0.131597, 0.131467, 0.131467, 0.13112, 0.130556, 0.130252, 0.130252, 0.130512, 0.130382, 0.130252, 0.130339, 0.130078, 0.130078, 0.129514, 0.129514, 0.129644, 0.129774, 0.129905, 0.129905, 0.129818, 0.131033, 0.133073, 0.135026, 0.136545, 0.139844, 0.141406, 0.142014, 0.139453, 0.136328, 0.135113, 0.134679, 0.136198, 0.136979, 0.136762, 0.137153, 0.137717, 0.137153, 0.135634, 0.135243, 0.135243, 0.134722, 0.13559, 0.136024, 0.137587, 0.137891, 
0.5, 0.675676, 0.121586, 0.110607, 0.10561, 0.102442, 0.100084, 0.0990639, 0.0986768, 0.0978322, 0.0973043, 0.097234, 0.0965653, 0.0963542, 0.0959319, 0.0958615, 0.0964597, 0.0967413, 0.0964949, 0.0967413, 0.0961782, 0.0957207, 0.0955448, 0.095404, 0.095228, 0.095404, 0.0955448, 0.0958967, 0.0961078, 0.0979026, 0.0985008, 0.101527, 0.105328, 0.107545, 0.107756, 0.105574, 0.099451, 0.0990639, 0.0979378, 0.0995918, 0.100788, 0.100999, 0.101668, 0.104202, 0.102829, 0.102407, 0.10012, 0.100014, 0.100788, 0.0994862, 0.0999085, 0.10107, 
1, 0.516796, 0.102552, 0.0912468, 0.0852444, 0.0809916, 0.0780308, 0.0764427, 0.0747201, 0.0738049, 0.072486, 0.0719477, 0.0720823, 0.0717862, 0.0713824, 0.0713824, 0.0712478, 0.0712478, 0.0704673, 0.070225, 0.0702519, 0.0700635, 0.0703058, 0.0700635, 0.0700904, 0.069902, 0.0695521, 0.0705211, 0.0709248, 0.0724591, 0.0731858, 0.076362, 0.0801572, 0.0857558, 0.0827143, 0.078273, 0.0752046, 0.0738587, 0.0738049, 0.0736165, 0.0752853, 0.0773579, 0.0791075, 0.0773848, 0.0761736, 0.07507, 0.074101, 0.072486, 0.0751238, 0.0746124, 0.0764696, 0.0783269, 
1.5, 0.30722, 0.0855255, 0.0711406, 0.0612999, 0.0550595, 0.0516513, 0.0483551, 0.046179, 0.0446109, 0.0438268, 0.0428987, 0.0426267, 0.0425947, 0.0422747, 0.0414267, 0.0413306, 0.0409466, 0.0406906, 0.0398425, 0.0399226, 0.0398586, 0.0400986, 0.0401786, 0.0401466, 0.0403226, 0.0403386, 0.0401306, 0.0409306, 0.0419387, 0.0430588, 0.0455869, 0.0488351, 0.0511553, 0.0487071, 0.0444988, 0.0428827, 0.0418427, 0.0421147, 0.0425467, 0.0434588, 0.0446429, 0.0452669, 0.0451869, 0.0447069, 0.0440188, 0.0435868, 0.0435228, 0.0426747, 0.0426907, 0.0438748, 0.0437948, 
2, 0.198807, 0.070328, 0.0528082, 0.0434684, 0.0381461, 0.0343874, 0.0318506, 0.0304941, 0.0296761, 0.0293862, 0.0285371, 0.0278951, 0.0278226, 0.0273567, 0.026694, 0.0264248, 0.0256689, 0.0252858, 0.0250062, 0.024882, 0.0248923, 0.024737, 0.0246852, 0.0246127, 0.0250373, 0.0251615, 0.0252029, 0.0254618, 0.0260106, 0.0271082, 0.0285268, 0.0312707, 0.032244, 0.0318299, 0.0295622, 0.0278848, 0.0270461, 0.0271082, 0.0273774, 0.027336, 0.0280712, 0.0287753, 0.0293033, 0.0292102, 0.02833, 0.0275327, 0.0276777, 0.0272221, 0.0274809, 0.0276673, 0.0277191, 
2.5, 0.0961076, 0.0541607, 0.0359302, 0.0257438, 0.0211487, 0.0184256, 0.0170291, 0.016063, 0.0152371, 0.0150318, 0.0140007, 0.01343, 0.0129295, 0.0127993, 0.0123338, 0.0121586, 0.0120435, 0.0118483, 0.0118032, 0.0117482, 0.0114929, 0.0116981, 0.0116631, 0.0116881, 0.0113878, 0.0113027, 0.0110674, 0.0111475, 0.0112926, 0.0117682, 0.0129795, 0.0148416, 0.015137, 0.0140357, 0.0127293, 0.0119584, 0.0116681, 0.0118683, 0.012479, 0.0123939, 0.0127943, 0.0129395, 0.0125541, 0.0125891, 0.0123438, 0.0120935, 0.0121736, 0.0121036, 0.0121236, 0.0119684, 0.0121586, 
3, 0.0360555, 0.0392536, 0.0214681, 0.0136711, 0.0101124, 0.0083754, 0.00740641, 0.00676604, 0.00648248, 0.00624587, 0.00586278, 0.00556795, 0.00526561, 0.0050628, 0.00504402, 0.00492195, 0.00483369, 0.00481491, 0.00487313, 0.00486937, 0.00464966, 0.00453511, 0.00452196, 0.00440366, 0.00434169, 0.00430225, 0.00412009, 0.00410883, 0.00421211, 0.00437173, 0.00481116, 0.00536514, 0.00570504, 0.00528439, 0.00469285, 0.00426281, 0.00428347, 0.00429286, 0.00442807, 0.00460835, 0.00488815, 0.00491069, 0.00471351, 0.00465342, 0.00444685, 0.00448816, 0.00436798, 0.00441117, 0.00440553, 0.00447314, 0.0044675, 
3.5, 0.0120185, 0.0276839, 0.0120961, 0.00648686, 0.00432291, 0.00342277, 0.00304469, 0.00283061, 0.0026134, 0.00236614, 0.00215394, 0.00198931, 0.00184597, 0.00175708, 0.00172265, 0.00168885, 0.0016851, 0.00162625, 0.00160622, 0.00156428, 0.00150294, 0.00142595, 0.00144347, 0.00143471, 0.00136022, 0.00138213, 0.00128636, 0.00128323, 0.00131515, 0.00138714, 0.00149292, 0.00163189, 0.00175082, 0.00163877, 0.00149731, 0.00140529, 0.001379, 0.0013934, 0.00141843, 0.001461, 0.00151483, 0.00156804, 0.00151233, 0.001461, 0.00146225, 0.00139027, 0.00139214, 0.00140592, 0.00138213, 0.00140779, 0.00145787, 
4, 0.00326408, 0.0182518, 0.00590136, 0.00252796, 0.00150199, 0.00112968, 0.000970044, 0.000914623, 0.000846281, 0.000753969, 0.000652986, 0.000605215, 0.000549794, 0.000516643, 0.000503042, 0.000492502, 0.000485702, 0.000487572, 0.000466661, 0.000447111, 0.000428411, 0.00041362, 0.00040155, 0.00039458, 0.00039322, 0.00039033, 0.000361429, 0.000355989, 0.000363469, 0.000382849, 0.00041277, 0.000452551, 0.000460031, 0.000433851, 0.00041651, 0.0003888, 0.00038608, 0.00038625, 0.00038574, 0.00039832, 0.0004109, 0.00041719, 0.00040869, 0.00039305, 0.00038625, 0.00039101, 0.000384719, 0.000379789, 0.00039373, 0.00040138, 0.00040733, 
4.5, 0.000741653, 0.0112469, 0.00259833, 0.000893769, 0.000479834, 0.000339036, 0.000292064, 0.000280631, 0.00025699, 0.00022068, 0.00019028, 0.000163898, 0.000145549, 0.000135274, 0.000131605, 0.000129017, 0.000125077, 0.000126042, 0.000126544, 0.000118046, 0.000107965, 0.000101321, 9.70329e-05, 9.45607e-05, 9.10842e-05, 8.97323e-05, 8.03457e-05, 7.5749e-05, 7.69078e-05, 8.0732e-05, 8.89983e-05, 9.49084e-05, 9.80758e-05, 8.95777e-05, 8.22771e-05, 8.03843e-05, 8.03457e-05, 8.00367e-05, 7.77577e-05, 7.89551e-05, 8.30883e-05, 8.38222e-05, 8.32814e-05, 8.04616e-05, 7.7719e-05, 7.72555e-05, 7.55172e-05, 7.62125e-05, 7.63284e-05, 8.08092e-05, 8.03843e-05, 
