Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, 
0, 0.826446, 0.145015, 0.140152, 0.136794, 0.134125, 0.132231, 0.131457, 0.131327, 0.131327, 0.130983, 0.130424, 0.131672, 0.133221, 0.135029, 0.136665, 0.140065, 0.142045, 0.143423, 0.139291, 0.134986, 0.134857, 0.136105, 0.138171, 0.142347, 0.149191, 0.154356, 0.155303, 0.158617, 0.154141, 0.151386, 0.149879, 0.148158, 0.149535, 0.153624, 0.158962, 0.164601, 0.167657, 0.165763, 0.164816, 0.161372, 0.159005, 0.15724, 0.156939, 0.159134, 0.163137, 0.164816, 0.167958, 0.169551, 0.16615, 0.165289, 0.162362, 
0.5, 0.657895, 0.121711, 0.111123, 0.106223, 0.102967, 0.1005, 0.0994723, 0.0990954, 0.098273, 0.0979646, 0.097622, 0.0970052, 0.0970737, 0.0989241, 0.100637, 0.102762, 0.10636, 0.10982, 0.110437, 0.106325, 0.100432, 0.100089, 0.10146, 0.104064, 0.108176, 0.11311, 0.117462, 0.121265, 0.117599, 0.113144, 0.108724, 0.107799, 0.109581, 0.110711, 0.114309, 0.119312, 0.123218, 0.122122, 0.120237, 0.11568, 0.112973, 0.110403, 0.111705, 0.112596, 0.114926, 0.117462, 0.118695, 0.119518, 0.118147, 0.115851, 0.116091, 
1, 0.512821, 0.102858, 0.0912393, 0.0853098, 0.0808761, 0.0778846, 0.0762286, 0.0746795, 0.0736378, 0.0724359, 0.0717682, 0.0718483, 0.0718483, 0.0733707, 0.0748665, 0.0773504, 0.0830128, 0.0844551, 0.0819979, 0.0786325, 0.0760417, 0.0751335, 0.0757479, 0.0774306, 0.0813568, 0.0861378, 0.0894765, 0.0887286, 0.0856036, 0.0841613, 0.0839209, 0.0825588, 0.0829327, 0.0838675, 0.086859, 0.0908921, 0.0936432, 0.0933226, 0.0915865, 0.0885684, 0.0877137, 0.0863515, 0.0869124, 0.0878739, 0.0875801, 0.0898504, 0.0915064, 0.0923344, 0.0912393, 0.0899038, 0.0898771, 
1.5, 0.309119, 0.0852331, 0.0708881, 0.0609061, 0.0546754, 0.0513105, 0.0480261, 0.0457078, 0.04413, 0.0433733, 0.0424234, 0.0419565, 0.0428581, 0.0435343, 0.0440817, 0.0456273, 0.0488472, 0.0509563, 0.0492658, 0.0459332, 0.0442588, 0.0442105, 0.0445325, 0.0456273, 0.0476397, 0.0511656, 0.0532103, 0.0541441, 0.0512783, 0.0487989, 0.0479456, 0.0468026, 0.0464162, 0.0479134, 0.0490565, 0.0513105, 0.0522926, 0.0534518, 0.0517613, 0.050103, 0.0495717, 0.0487828, 0.0496522, 0.0501513, 0.0514876, 0.051874, 0.052518, 0.0531781, 0.0519867, 0.052196, 0.0515681, 
2, 0.199203, 0.0703851, 0.0528511, 0.0434927, 0.0381806, 0.0343522, 0.0318103, 0.0304719, 0.0296626, 0.0293617, 0.0286043, 0.0276913, 0.0275876, 0.0276291, 0.028843, 0.0308972, 0.0336985, 0.0349021, 0.0331694, 0.030586, 0.0290816, 0.0284591, 0.0284487, 0.0291127, 0.0307312, 0.033242, 0.0346738, 0.0354312, 0.0326506, 0.0313745, 0.0307935, 0.0303681, 0.0302955, 0.0303992, 0.0318518, 0.0329308, 0.0336259, 0.0328582, 0.0330242, 0.0323083, 0.0321111, 0.0314471, 0.0313641, 0.0318829, 0.0323913, 0.0322564, 0.0333562, 0.0333458, 0.0327648, 0.0327129, 0.0321941, 
2.5, 0.100756, 0.0539777, 0.0356633, 0.0253726, 0.020996, 0.0182567, 0.0169186, 0.0160474, 0.0152288, 0.0150451, 0.0140113, 0.0132714, 0.013072, 0.0129828, 0.013749, 0.0147093, 0.015869, 0.0170078, 0.0162154, 0.0143682, 0.0133711, 0.0132662, 0.0134813, 0.0137699, 0.0146463, 0.0156853, 0.0162311, 0.0165565, 0.015869, 0.0151134, 0.0144889, 0.0143209, 0.0142632, 0.0146411, 0.0150136, 0.0155751, 0.0159005, 0.0160317, 0.0156749, 0.0152131, 0.0151448, 0.0147618, 0.0148615, 0.0150136, 0.0153075, 0.015234, 0.0152026, 0.0155699, 0.0156644, 0.01536, 0.0154807, 
3, 0.0385877, 0.0394016, 0.0216332, 0.0137408, 0.0101192, 0.00830439, 0.00724926, 0.00666442, 0.00639511, 0.00610771, 0.00571982, 0.00512292, 0.00501841, 0.00506463, 0.00518321, 0.00559321, 0.00586051, 0.00615996, 0.00601325, 0.00560727, 0.00521336, 0.00500635, 0.00506865, 0.00512292, 0.00535203, 0.00574997, 0.00596501, 0.00593085, 0.00555301, 0.00545252, 0.00523547, 0.00515708, 0.005139, 0.00515708, 0.0053239, 0.00548669, 0.00556507, 0.00556708, 0.00563139, 0.00560727, 0.00558115, 0.00549875, 0.00556105, 0.00552889, 0.00562536, 0.0056535, 0.00563943, 0.00559923, 0.00563139, 0.00552085, 0.0056736, 
3.5, 0.0149981, 0.0274684, 0.0120305, 0.00648981, 0.00436977, 0.00349019, 0.00307774, 0.00282777, 0.00261686, 0.00238798, 0.002213, 0.00190836, 0.00183258, 0.00179978, 0.00189742, 0.00208802, 0.00223644, 0.00226847, 0.00214192, 0.0019896, 0.00189976, 0.0017865, 0.00179978, 0.00181852, 0.00195288, 0.00207162, 0.00216692, 0.00215207, 0.00206693, 0.00199194, 0.00199116, 0.00192085, 0.00192554, 0.00195366, 0.00199194, 0.00201928, 0.00204584, 0.00206693, 0.0020599, 0.00208568, 0.00204818, 0.00204037, 0.00205287, 0.00204506, 0.00209271, 0.00210052, 0.00210052, 0.00207396, 0.00206615, 0.00209583, 0.00207162, 
4, 0.00414259, 0.0182738, 0.00589671, 0.00253367, 0.00150147, 0.00112389, 0.000972429, 0.00093985, 0.000875553, 0.000778246, 0.000680938, 0.00056939, 0.000537242, 0.000523865, 0.000552129, 0.000598518, 0.000633039, 0.000649437, 0.000587298, 0.000541773, 0.000518902, 0.000495384, 0.000494521, 0.000503799, 0.000524944, 0.00054803, 0.000549756, 0.00056788, 0.000564643, 0.00053379, 0.000519765, 0.000505957, 0.000516313, 0.000521707, 0.00052969, 0.000533142, 0.000543499, 0.000544793, 0.000545872, 0.000535732, 0.000529475, 0.000523217, 0.000523217, 0.000526454, 0.00053379, 0.000534653, 0.000537026, 0.000543067, 0.000530769, 0.000533358, 0.000530985, 
4.5, 0.00114126, 0.0112746, 0.00259809, 0.000887091, 0.000471067, 0.000336077, 0.000289713, 0.000279668, 0.000255595, 0.000217077, 0.000190448, 0.000151752, 0.00013921, 0.000132374, 0.000137189, 0.000154248, 0.000171605, 0.000171427, 0.000158766, 0.000140755, 0.000133979, 0.000125955, 0.000123934, 0.000127441, 0.000135049, 0.000142004, 0.000142539, 0.000146164, 0.000142301, 0.000140042, 0.000137546, 0.000132671, 0.00013392, 0.000135643, 0.000138497, 0.000140874, 0.000140042, 0.000138794, 0.000138972, 0.000136892, 0.000135525, 0.000134276, 0.000134871, 0.000135703, 0.000132909, 0.000136, 0.000134871, 0.000136654, 0.000136297, 0.00013808, 0.000136357, 
