Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.900901, 0.145786, 0.141188, 0.139874, 0.138889, 0.139311, 0.14466, 0.144754, 0.149212, 0.149634, 0.151605, 0.151839, 0.153951, 0.153388, 0.154045, 0.153669, 0.154795, 0.154561, 0.154655, 0.154655, 0.154748, 
0.5, 0.796813, 0.12114, 0.109977, 0.108649, 0.106823, 0.104997, 0.108109, 0.108109, 0.110309, 0.110807, 0.112591, 0.113587, 0.114666, 0.114625, 0.11533, 0.115413, 0.115538, 0.115745, 0.115911, 0.11587, 0.116077, 
1, 0.711744, 0.102017, 0.0912663, 0.08793, 0.0864843, 0.0846308, 0.0860394, 0.0846679, 0.0859653, 0.0856687, 0.0875964, 0.0871145, 0.0889309, 0.0884119, 0.0888197, 0.0887085, 0.0889309, 0.0886714, 0.0890792, 0.088968, 0.0890421, 
1.5, 0.543478, 0.0858809, 0.0718693, 0.0662647, 0.0634907, 0.0619622, 0.0633209, 0.0622452, 0.0644248, 0.0643116, 0.0651325, 0.0654155, 0.065642, 0.0659817, 0.0660666, 0.0659534, 0.0660949, 0.0663779, 0.0662364, 0.0663496, 0.0663496, 
2, 0.369004, 0.0684387, 0.0519104, 0.0454528, 0.0407442, 0.0386493, 0.0378998, 0.0374577, 0.0389376, 0.0384379, 0.0392451, 0.0392259, 0.0394757, 0.0393027, 0.0396295, 0.0394565, 0.0396102, 0.0394565, 0.0396102, 0.0395141, 0.039591, 
2.5, 0.23753, 0.0536421, 0.0352831, 0.0295922, 0.0254478, 0.0234437, 0.0221942, 0.0218602, 0.0221942, 0.0219468, 0.0226519, 0.0225282, 0.0226519, 0.0227138, 0.0226767, 0.0227138, 0.0227138, 0.0227385, 0.0227014, 0.0227633, 0.0227385, 
3, 0.143678, 0.0397659, 0.0221504, 0.0163284, 0.0129759, 0.0118011, 0.0110827, 0.010933, 0.0112174, 0.0109704, 0.0113072, 0.0112174, 0.0113521, 0.0112922, 0.0113072, 0.0113446, 0.0113521, 0.0113745, 0.011382, 0.011367, 0.0113745, 
3.5, 0.0637552, 0.0282249, 0.0122994, 0.00815867, 0.00594384, 0.00499748, 0.00446286, 0.0044197, 0.00455252, 0.00440973, 0.00448279, 0.00450271, 0.00448611, 0.0044695, 0.00451267, 0.00447947, 0.00450603, 0.00449275, 0.00449939, 0.00448611, 0.00449275, 
4, 0.0263435, 0.0180604, 0.00594238, 0.00334919, 0.00228997, 0.00194283, 0.00174526, 0.00169861, 0.00177819, 0.00172331, 0.00178093, 0.00176035, 0.00177544, 0.00176584, 0.00178368, 0.00177956, 0.00178368, 0.00177682, 0.0017823, 0.00177819, 0.00178505, 
4.5, 0.0102965, 0.0112833, 0.00258808, 0.00121038, 0.000826405, 0.000684291, 0.000620474, 0.000600632, 0.000619938, 0.000596878, 0.000610285, 0.000611893, 0.000614038, 0.000605458, 0.000607603, 0.000608676, 0.000609212, 0.000605994, 0.000607067, 0.000605994, 0.000608676, 
5, 0.00269096, 0.00636271, 0.000962858, 0.000380238, 0.000236019, 0.000181219, 0.000158374, 0.000150525, 0.000155851, 0.000149404, 0.000150105, 0.000152347, 0.000150385, 0.000148703, 0.000149124, 0.000149264, 0.000150105, 0.000149404, 0.000150245, 0.000149684, 0.000149965, 
5.5, 0.000956755, 0.00333125, 0.000314184, 0.000101506, 6.6923e-05, 5.17246e-05, 5.06781e-05, 4.84855e-05, 5.06781e-05, 4.84855e-05, 4.88344e-05, 4.88842e-05, 4.84855e-05, 4.87347e-05, 4.87347e-05, 4.8934e-05, 4.90835e-05, 4.91832e-05, 4.89838e-05, 4.91333e-05, 4.91333e-05, 
6, 0.000195282, 0.00155046, 8.90772e-05, 2.25897e-05, 1.50225e-05, 1.10558e-05, 1.03337e-05, 1.03947e-05, 1.04964e-05, 1.00692e-05, 1.00489e-05, 1.01099e-05, 1.01404e-05, 1.01201e-05, 1.01303e-05, 1.01709e-05, 1.01913e-05, 1.0232e-05, 1.02116e-05, 1.02523e-05, 1.02421e-05, 
