Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.913242, 0.150637, 0.145025, 0.142171, 0.140363, 0.14003, 0.139222, 0.138318, 0.137034, 0.13789, 0.137272, 0.136986, 0.137129, 0.136558, 0.136511, 0.136844, 0.137081, 0.136653, 0.136368, 0.135797, 0.136225, 
0.5, 0.813008, 0.128599, 0.119707, 0.116955, 0.114372, 0.113101, 0.112508, 0.111873, 0.110645, 0.109671, 0.109375, 0.108401, 0.107808, 0.108232, 0.107724, 0.107766, 0.109206, 0.108867, 0.108909, 0.109629, 0.109375, 
1, 0.692042, 0.109033, 0.0988322, 0.0956243, 0.0907944, 0.0882713, 0.0866854, 0.0866133, 0.0852437, 0.0840182, 0.0833333, 0.0835856, 0.0830089, 0.0836217, 0.0833694, 0.0845228, 0.083874, 0.0829369, 0.0826845, 0.0820718, 0.0811347, 
1.5, 0.516796, 0.094396, 0.0815568, 0.0766311, 0.0699828, 0.067022, 0.0650571, 0.0639804, 0.061531, 0.0608581, 0.0599429, 0.0599968, 0.0611003, 0.0618002, 0.0601852, 0.0590009, 0.057978, 0.058328, 0.0568475, 0.0574128, 0.0562285, 
2, 0.376648, 0.0790568, 0.0635005, 0.0564383, 0.0495527, 0.04867, 0.0463944, 0.046414, 0.0447662, 0.0447465, 0.0443738, 0.0442757, 0.0427652, 0.0436088, 0.042314, 0.0423336, 0.0410389, 0.0413332, 0.0416863, 0.0422748, 0.0408624, 
2.5, 0.235849, 0.0633353, 0.0468873, 0.0392099, 0.0334857, 0.0331294, 0.0313237, 0.0318888, 0.0317414, 0.0308692, 0.0291249, 0.028695, 0.0276877, 0.0276631, 0.0256609, 0.0251941, 0.0248133, 0.0253046, 0.0242728, 0.0250467, 0.0246045, 
3, 0.148258, 0.0511413, 0.0341766, 0.0271343, 0.0229337, 0.0218526, 0.022092, 0.0208565, 0.0203391, 0.0199762, 0.0183006, 0.0176211, 0.0165555, 0.0162929, 0.0165941, 0.0162312, 0.0156366, 0.0155903, 0.0155208, 0.0152428, 0.0151192, 
3.5, 0.087108, 0.0372251, 0.0218314, 0.0166912, 0.0142775, 0.0148719, 0.0155025, 0.0144681, 0.0128484, 0.0119547, 0.0111698, 0.0108114, 0.0101581, 0.0102125, 0.00980419, 0.00936411, 0.00933689, 0.00912366, 0.0085384, 0.00819813, 0.00831609, 
4, 0.0643294, 0.026556, 0.0140787, 0.01172, 0.0109058, 0.0112844, 0.0111203, 0.0114084, 0.010544, 0.00922054, 0.00797416, 0.00751514, 0.00701592, 0.00726721, 0.00710303, 0.00699582, 0.00656696, 0.00661051, 0.00663397, 0.00637263, 0.00613474, 
4.5, 0.0454649, 0.0186359, 0.00958314, 0.00889407, 0.00860518, 0.0094458, 0.00928004, 0.00889407, 0.00786164, 0.00709442, 0.00617565, 0.00576362, 0.00511006, 0.00495615, 0.00551025, 0.00578256, 0.00546526, 0.00514795, 0.00455833, 0.00442572, 0.00449439, 
5, 0.0284333, 0.012487, 0.00630864, 0.00657669, 0.00652486, 0.00742524, 0.00744153, 0.00709796, 0.00579329, 0.00518612, 0.00444123, 0.00420872, 0.00400436, 0.00379407, 0.00356749, 0.0035127, 0.00311434, 0.0032876, 0.003024, 0.00302845, 0.0026286, 
5.5, 0.0263609, 0.00863319, 0.00504976, 0.00648313, 0.0065051, 0.00722316, 0.00633073, 0.00563738, 0.00438799, 0.00447586, 0.00412163, 0.00412575, 0.00356421, 0.00362874, 0.00327452, 0.00330197, 0.00304523, 0.00317292, 0.00281045, 0.00288597, 0.00254547, 
6, 0.0183083, 0.00533706, 0.00375797, 0.00508437, 0.0051597, 0.00571753, 0.0050243, 0.00450651, 0.00357298, 0.00330599, 0.00294649, 0.00303708, 0.00281967, 0.00290931, 0.00271192, 0.00257365, 0.00232763, 0.00223228, 0.00204061, 0.00200056, 0.00193763, 
