Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.900901, 0.156719, 0.155358, 0.153012, 0.153388, 0.151182, 0.152825, 0.151464, 0.149869, 0.150479, 0.14832, 0.148226, 0.147945, 0.147241, 0.147945, 0.149446, 0.150432, 0.150901, 0.147851, 0.149165, 0.144754, 
0.5, 0.766284, 0.131386, 0.126157, 0.123084, 0.121608, 0.119812, 0.119532, 0.117736, 0.118814, 0.117098, 0.116619, 0.11618, 0.116379, 0.1159, 0.112508, 0.112787, 0.114224, 0.113785, 0.1159, 0.112867, 0.113266, 
1, 0.668896, 0.112528, 0.105142, 0.102982, 0.0984183, 0.0978609, 0.0969203, 0.0955268, 0.0930532, 0.0924958, 0.0899178, 0.09051, 0.0898481, 0.0903707, 0.0900223, 0.0898481, 0.0881759, 0.0860507, 0.0854933, 0.0843785, 0.084692, 
1.5, 0.45977, 0.0941331, 0.0851054, 0.0785201, 0.0741379, 0.0722701, 0.0701868, 0.0693487, 0.0657567, 0.0653496, 0.0632902, 0.0619253, 0.061183, 0.0606561, 0.0608956, 0.059842, 0.058501, 0.0570881, 0.0562261, 0.0548611, 0.0541188, 
2, 0.334448, 0.0769057, 0.0646251, 0.0566646, 0.0506898, 0.0483034, 0.0458473, 0.0451505, 0.0429208, 0.0417189, 0.0399422, 0.0396983, 0.0394544, 0.0390886, 0.0385486, 0.0379041, 0.0374512, 0.0364583, 0.0365628, 0.0365803, 0.0368416, 
2.5, 0.199601, 0.0639762, 0.0475715, 0.0398474, 0.0349093, 0.0328614, 0.0301376, 0.0289005, 0.0268941, 0.0259689, 0.0252828, 0.024763, 0.0237026, 0.0233803, 0.0220497, 0.0220081, 0.0208749, 0.0206878, 0.0208333, 0.0204695, 0.0207086, 
3, 0.102775, 0.0474531, 0.0315819, 0.0242645, 0.0201803, 0.0187885, 0.0168776, 0.0151647, 0.0142065, 0.0129914, 0.0120868, 0.0112142, 0.0109252, 0.0105451, 0.0102882, 0.0101972, 0.00979038, 0.00943174, 0.00918551, 0.00886434, 0.00848428, 
3.5, 0.0569476, 0.0343792, 0.0198723, 0.0142755, 0.0114904, 0.0104315, 0.00960991, 0.0092006, 0.00830189, 0.00753073, 0.00693159, 0.00673287, 0.0062939, 0.00599729, 0.00559688, 0.00546045, 0.00524986, 0.00502741, 0.00479606, 0.0046003, 0.00455877, 
4, 0.0256115, 0.0240174, 0.0114558, 0.00785952, 0.00637752, 0.00578793, 0.00512496, 0.00463808, 0.00410184, 0.00368032, 0.00346822, 0.00323478, 0.00291197, 0.00266786, 0.0024531, 0.00239841, 0.00226101, 0.00218364, 0.00208493, 0.00203158, 0.00188218, 
4.5, 0.0155775, 0.0162412, 0.00688819, 0.00504891, 0.00409965, 0.00377268, 0.00323558, 0.00288347, 0.00251431, 0.00223765, 0.00201291, 0.0018044, 0.00157236, 0.00144741, 0.00136709, 0.00128515, 0.00114316, 0.00114884, 0.00109286, 0.00108637, 0.0010385, 
5, 0.00859845, 0.0100257, 0.00386348, 0.00293243, 0.00238786, 0.0021429, 0.00183613, 0.0016552, 0.00139008, 0.00125349, 0.00108152, 0.00100808, 0.000896568, 0.000868354, 0.00080297, 0.000759082, 0.000716538, 0.000696833, 0.00062921, 0.000632345, 0.000565169, 
5.5, 0.00411955, 0.00607033, 0.00231896, 0.00180295, 0.00145042, 0.00127942, 0.00107537, 0.000904155, 0.000740661, 0.000649258, 0.000568584, 0.000523311, 0.000460016, 0.000426974, 0.000392859, 0.000370116, 0.000327633, 0.000318192, 0.000296522, 0.00029974, 0.000276997, 
6, 0.00230537, 0.00355651, 0.00146751, 0.00118702, 0.000918065, 0.000797874, 0.000640821, 0.000534918, 0.000424932, 0.000381827, 0.000305461, 0.000275684, 0.000255992, 0.000255512, 0.000226094, 0.000209044, 0.000177946, 0.000175184, 0.000160775, 0.000159094, 0.000149969, 
