Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,443,1429
2,521,1430
3,1267,1447
4,894,1456
5,1168,1466
6,463,1467
7,360,1474
8,1570,1479
9,1443,1482
10,1776,1488
11,241,1494
12,370,1496
13,226,1505
14,919,1513
15,391,1517
16,1704,1528
17,227,1531
18,132,1535
19,1046,1539
20,1454,1549
21,597,1558
22,366,1574
23,645,1576
24,422,1582
25,957,1584
26,1726,1586
27,1181,1587
28,232,1593
29,734,1605
30,150,1607
31,941,1620
32,814,1625
33,1899,1637
34,1536,1638
35,911,1648
36,1700,1660
37,294,1666
38,731,1670
39,1763,1678
40,1745,1682
41,1340,1684
42,1157,1708
43,650,1709
44,1781,1721
45,272,1735
46,1374,1758
47,1217,1764
48,1577,1777
49,746,1789
50,1408,1803
51,1581,1817
52,612,1832
53,1034,1833
54,1862,1839
55,1028,1848
56,625,1854
57,1158,1864
58,678,1880
59,1419,1884
60,778,1885
61,922,1887
62,1306,1897
63,1849,1900
