SNR,Throught
-4.5, 0
-4.25, 0
-4, 0
-3.75, 0
-3.5, 0
-3.25, 0
-3, 0
-2.75, 0.00366667
-2.5, 0.0275
-2.25, 0.11
-2, 0.198
-1.75, 0.317167
-1.5, 0.350167
-1.25, 0.365476
-1, 0.367845
-0.75, 0.368595
-0.5, 0.368381
-0.25, 0.369774
0, 0.372345
0.25, 0.373631
0.5, 0.375452
0.75, 0.386179
1, 0.406477
1.25, 0.450927
1.5, 0.53932
1.75, 0.638446
2, 0.696931
2.25, 0.726285
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
