SNR,Throught
-4.5, 0.0055
-4.25, 0.0403333
-4, 0.168667
-3.75, 0.247607
-3.5, 0.311881
-3.25, 0.362345
-3, 0.368381
-2.75, 0.36956
-2.5, 0.372667
-2.25, 0.373095
-2, 0.376417
-1.75, 0.376845
-1.5, 0.378667
-1.25, 0.380274
-1, 0.382845
-0.75, 0.383488
-0.5, 0.383702
-0.25, 0.385202
0, 0.388221
0.25, 0.399765
0.5, 0.423744
0.75, 0.495207
1, 0.579859
1.25, 0.661926
1.5, 0.719795
1.75, 0.723129
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
