SNR,Throught
-4, 0.0183333
-3.75, 0.0788333
-3.5, 0.205333
-3.25, 0.297
-3, 0.341
-2.75, 0.363304
-2.5, 0.363152
-2.25, 0.367881
-2, 0.36697
-1.75, 0.368792
-1.5, 0.370158
-1.25, 0.370917
-1, 0.372283
-0.75, 0.374408
-0.5, 0.377899
-0.25, 0.380024
0, 0.384222
0.25, 0.390346
0.5, 0.424947
0.75, 0.493761
1, 0.576829
1.25, 0.655146
1.5, 0.697692
1.75, 0.726674
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
