SNR, Throughput
-4.5, 0
-4.25, 0
-4, 0
-3.75, 0.0183333
-3.5, 0.0348333
-3.25, 0.132
-3, 0.221833
-2.75, 0.319
-2.5, 0.361167
-2.25, 0.366667
-2, 0.366667
-1.75, 0.366667
-1.5, 0.366667
-1.25, 0.366667
-1, 0.366667
-0.75, 0.366667
-0.5, 0.366667
-0.25, 0.366667
0, 0.366667
0.25, 0.366667
0.5, 0.366667
0.75, 0.377035
1, 0.394265
1.25, 0.439122
1.5, 0.531401
1.75, 0.634921
2, 0.695103
2.25, 0.726073
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
