SNR     iteration      FER     BER
-2        1          1      0.106358
-2        2          1      0.0952856
-2        3          1      0.0900983
-2        4          1      0.086779
-2        5          1      0.0845599
-2        6          1      0.0829682
-2        7          1      0.0818493
-2        8          1      0.0814185
-2        9          1      0.0805852
-2        10          1      0.08022
-2        11          0.995025      0.0794576
-2        12          0.990099      0.0789066
-2        13          0.990099      0.0785173
-2        14          0.980392      0.0784727
-2        15          0.980392      0.0782248
-2        16          0.980392      0.0779586
-2        17          0.97561      0.0778752
-2        19          0.966184      0.0774259
-2        18          0.961538      0.0773102
-2        20          0.961538      0.0771572
-2        21          0.956938      0.0772046
-2        22          0.952381      0.0769262
-2        23          0.947867      0.0770275
-2        24          0.947867      0.0768412
-2        25          0.947867      0.0766193
-2        26          0.943396      0.0766819
-2        27          0.943396      0.0765096
-2        28          0.938967      0.0766296
-2        29          0.938967      0.0764142
-2        30          0.934579      0.0763546
-2        31          0.925926      0.0762718
-2        33          0.921659      0.0765288
-2        32          0.917431      0.0762937
-2        34          0.913242      0.0768474
-2        35          0.913242      0.0765695
-2        36          0.913242      0.0763216
-2        37          0.913242      0.076018
-2        38          0.909091      0.0759448
-2        39          0.909091      0.0758044
-2        40          0.900901      0.0753872
-2        41          0.896861      0.0753724
-2        42          0.896861      0.0752759
-2        43          0.888889      0.0752851
-2        44          0.888889      0.0752518
-2        45          0.888889      0.0751561
-2        46          0.888889      0.0751061
-2        47          0.881057      0.0747373
-2        48          0.877193      0.0746025
-2        49          0.877193      0.0746066
-2        50          0.877193      0.0745943
-2        51          0.877193      0.074586
-2        52          0.877193      0.0744711
-2        53          0.877193      0.074508
-2        54          0.877193      0.0745778
-2        55          0.877193      0.0746723
-2        56          0.877193      0.0746723
-2        57          0.877193      0.0747257
-2        58          0.877193      0.0746682
-2        59          0.877193      0.0747092
-2        60          0.877193      0.0747339
-2        61          0.877193      0.0747667
-2        62          0.877193      0.0746312
-2        63          0.877193      0.0746107
-2        64          0.877193      0.0745039
-2        65          0.873362      0.0745956
-2        66          0.873362      0.0746202
-2        67          0.873362      0.0745752
-2        68          0.873362      0.0746447
-2        69          0.873362      0.0747673
-2        70          0.873362      0.0749677
-2        71          0.873362      0.0751926
-2        72          0.873362      0.0750331
-2        73          0.873362      0.0747551
-2        74          0.873362      0.0747183
-2        75          0.873362      0.0746079
-2        76          0.873362      0.0745343
-2        77          0.873362      0.0744852
-2        78          0.873362      0.0745793
-2        79          0.873362      0.0745466
-2        80          0.873362      0.0746529
-2        81          0.873362      0.0745629
-2        82          0.873362      0.074612
-2        83          0.873362      0.0746447
-2        84          0.873362      0.0746529
-2        85          0.873362      0.0746938
-2        86          0.873362      0.074657
-2        87          0.873362      0.0746202
-2        88          0.873362      0.0746324
-2        89          0.873362      0.0746161
-2        90          0.873362      0.0746283
-2        91          0.873362      0.0746242
-2        92          0.873362      0.0746079
-2        93          0.873362      0.0745915
-2        94          0.873362      0.0745793
-2        95          0.873362      0.0745547
-2        96          0.873362      0.0745016
-2        97          0.873362      0.0745138
-2        98          0.873362      0.0745384
-2        99          0.873362      0.0745588
-2        100          0.873362      0.0745874
-2        101          0.873362      0.0746283
-2        102          0.873362      0.0744075
-2        103          0.873362      0.0737901
-2        104          0.873362      0.0732995
-2        105          0.873362      0.0727148
-2        106          0.873362      0.0723672
-2        107          0.873362      0.0720483
-2        108          0.873362      0.0719543
-2        109          0.873362      0.0718929
-2        110          0.873362      0.0713042
-2        111          0.873362      0.0709321
-2        112          0.873362      0.07056
-2        113          0.873362      0.0704782
-2        114          0.873362      0.0700612
-2        115          0.873362      0.0699835
-2        116          0.873362      0.0696727
-2        117          0.858369      0.0691719
-2        118          0.858369      0.0687539
-2        119          0.854701      0.0686442
-2        120          0.847458      0.0684751
-2        121          0.843882      0.0683837
-2        122          0.833333      0.0679229
-2        123          0.833333      0.0679151
-2        124          0.829876      0.0678237
-2        125          0.829876      0.0675983
-2        126          0.819672      0.0679376
-2        127          0.816327      0.0675113
-2        128          0.816327      0.067538
-2        129          0.813008      0.0676555
-2        130          0.809717      0.0677834
-2        131          0.806452      0.0677253
-2        132          0.803213      0.0677767
-2        133          0.803213      0.067694
-2        134          0.803213      0.0674458
-2        135          0.796813      0.0674493
-2        136          0.790514      0.0675971
-2        137          0.790514      0.0675564
-2        138          0.790514      0.0676045
-2        139          0.784314      0.067144
-2        140          0.784314      0.0670706
-2        141          0.784314      0.0670008
-2        142          0.78125      0.0671122
-2        143          0.78125      0.0670353
-2        144          0.77821      0.0669202
-2        145          0.775194      0.0669476
-2        146          0.775194      0.0671036
-2        147          0.775194      0.067031
-2        148          0.775194      0.066933
-2        149          0.775194      0.0668423
-2        150          0.775194      0.0668677
-2        151          0.775194      0.066933
-2        152          0.775194      0.0669693
-2        153          0.775194      0.0670746
-2        154          0.775194      0.0672016
-2        155          0.775194      0.0671435
-2        156          0.775194      0.0671762
-2        157          0.775194      0.0671581
-2        158          0.775194      0.0669802
-2        159          0.775194      0.0670528
-2        160          0.772201      0.0669674
-2        161          0.772201      0.066953
-2        162          0.772201      0.0669602
-2        163          0.772201      0.0670867
-2        164          0.772201      0.0672386
-2        165          0.772201      0.0671554
-2        166          0.772201      0.0671048
-2        167          0.772201      0.0671121
-2        168          0.772201      0.0670217
-2        169          0.772201      0.0669964
-2        170          0.772201      0.0670253
-2        171          0.772201      0.0670687
-2        172          0.772201      0.0669711
-2        173          0.772201      0.0670253
-2        174          0.772201      0.066953
-2        175          0.772201      0.0669602
-2        176          0.772201      0.0668951
-2        177          0.772201      0.0669241
-2        178          0.772201      0.0670036
-2        179          0.772201      0.0670325
-2        180          0.772201      0.0670181
-2        181          0.772201      0.0669132
-2        182          0.772201      0.0668915
-2        183          0.772201      0.0669494
-2        184          0.772201      0.0670217
-2        185          0.772201      0.0668915
-2        186          0.772201      0.0667975
-2        187          0.772201      0.0670036
-2        188          0.769231      0.0670844
-2        189          0.769231      0.0669872
-2        190          0.769231      0.0669728
-2        191          0.769231      0.0669656
-2        192          0.769231      0.0668215
-2        193          0.769231      0.0668935
-2        194          0.769231      0.0668179
-2        195          0.769231      0.0668971
-2        196          0.769231      0.0666955
-2        197          0.769231      0.0668899
-2        198          0.769231      0.0668611
-2        199          0.769231      0.0668611
-2        200          0.769231      0.0668251
-1.75        1          1      0.0976685
-1.75        2          1      0.0847612
-1.75        3          1      0.0782678
-1.75        4          1      0.0739045
-1.75        5          1      0.0705665
-1.75        6          1      0.0682818
-1.75        7          0.990099      0.0664284
-1.75        8          0.985222      0.0644684
-1.75        9          0.980392      0.0627479
-1.75        10          0.966184      0.0612595
-1.75        11          0.943396      0.0598323
-1.75        12          0.925926      0.0592228
-1.75        13          0.909091      0.0582312
-1.75        14          0.896861      0.0580188
-1.75        15          0.892857      0.0571621
-1.75        16          0.877193      0.0563605
-1.75        17          0.854701      0.0556356
-1.75        18          0.83682      0.0557684
-1.75        19          0.819672      0.055892
-1.75        20          0.813008      0.0557725
-1.75        21          0.806452      0.0548621
-1.75        22          0.775194      0.0544741
-1.75        23          0.775194      0.054122
-1.75        24          0.760456      0.0539048
-1.75        25          0.75188      0.0536277
-1.75        26          0.75188      0.0535433
-1.75        27          0.749064      0.0535952
-1.75        28          0.743494      0.053517
-1.75        29          0.738007      0.053395
-1.75        30          0.729927      0.0534425
-1.75        31          0.727273      0.0533742
-1.75        32          0.727273      0.053078
