SNR     iteration      FER     BER
-2        1          1      0.104117
-2        2          1      0.0918998
-2        3          1      0.0858234
-2        4          1      0.0812996
-2        5          1      0.0776984
-2        6          1      0.0755804
-2        7          1      0.07375
-2        8          1      0.072123
-2        9          0.995025      0.0705056
-2        10          0.97561      0.0696429
-2        11          0.961538      0.0687052
-2        12          0.947867      0.0673381
-2        13          0.930233      0.0663483
-2        14          0.925926      0.0655359
-2        15          0.913242      0.0650051
-2        16          0.892857      0.0646037
-2        17          0.884956      0.0638125
-2        18          0.869565      0.0635956
-2        19          0.854701      0.0629197
-2        20          0.854701      0.0627544
-2        21          0.829876      0.0621707
-2        22          0.809717      0.0621345
-2        23          0.803213      0.0619502
-2        24          0.8      0.0618492
-2        25          0.787402      0.0618985
-2        26          0.784314      0.0617336
-2        27          0.78125      0.0614227
-2        28          0.78125      0.0612715
-2        29          0.78125      0.0610468
-2        30          0.769231      0.0611722
-2        31          0.769231      0.0612866
-2        32          0.766284      0.0614205
-2        33          0.766284      0.0614661
-2        34          0.766284      0.0613749
-2        35          0.766284      0.0612153
-2        36          0.760456      0.0613985
-2        37          0.760456      0.0614325
-2        38          0.760456      0.0613193
-2        39          0.760456      0.0611647
-2        40          0.760456      0.06101
-2        41          0.760456      0.0609346
-2        42          0.757576      0.0610232
-2        43          0.757576      0.0608992
-2        44          0.75188      0.0611424
-2        45          0.75188      0.060997
-2        46          0.75188      0.0609112
-2        47          0.75188      0.0607993
-2        48          0.75188      0.0608068
-2        49          0.75188      0.0607956
-2        50          0.749064      0.0609432
-2        51          0.743494      0.0608257
-2        52          0.740741      0.0609935
-2        53          0.740741      0.060909
-2        54          0.740741      0.0609347
-2        55          0.740741      0.0608613
-2        56          0.740741      0.0606849
-2        57          0.740741      0.0605453
-2        58          0.732601      0.0599781
-2        59          0.732601      0.0600834
-2        60          0.729927      0.0601719
-2        61          0.729927      0.0602262
-2        62          0.729927      0.0603348
-2        63          0.729927      0.0603964
-2        64          0.729927      0.0604254
-2        65          0.729927      0.0605014
-2        66          0.729927      0.0604543
-2        67          0.729927      0.0603131
