Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,2270,541
2,2423,543
3,1735,563
4,721,570
5,257,576
6,2236,601
7,1589,604
8,2516,609
9,176,613
10,1588,633
11,803,638
12,2206,652
13,547,661
14,1228,667
15,1092,669
16,2203,677
17,1831,681
18,589,686
19,893,688
20,383,699
21,1818,703
22,1553,705
23,490,706
24,424,718
25,1313,720
26,2413,734
27,1508,736
28,90,737
29,156,749
30,2153,759
31,1251,772
32,1064,774
33,2116,777
34,1014,788
35,1456,793
36,1916,795
37,2321,812
38,918,817
39,1766,825
40,2581,832
41,220,841
42,1600,844
43,1149,849
44,867,851
45,744,854
46,2037,874
47,2629,876
48,532,880
49,2096,914
50,559,925
51,2622,933
52,2146,939
53,1179,954
54,1956,981
55,1369,983
56,2164,985
57,990,988
58,212,991
59,1609,996
60,2418,999
61,554,1013
62,1203,1019
63,2010,1021
64,111,1032
65,2510,1044
66,2047,1049
67,1523,1050
68,524,1073
69,1367,1076
70,1420,1080
71,2626,1085
72,2280,1097
73,2549,1100
74,1834,1104
75,1118,1107
76,2479,1113
77,1318,1125
78,651,1136
79,1096,1143
80,1896,1162
81,1521,1165
82,2027,1166
83,2630,1169
84,2547,1172
85,1458,1173
86,2552,1180
87,330,1184
88,142,1188
89,852,1195
90,1575,1197
91,1447,1226
92,2390,1241
93,1473,1258
94,1194,1270
95,1479,1278
96,1912,1283
