Extra_VNs,Payload_VNs
1,1
2,2
3,5
4,12
5,21
6,32
7,35
8,36
9,39
10,58
11,61
12,67
13,88
14,92
15,99
16,101
17,104
18,105
19,107
20,110
21,113
22,118
23,138
24,145
25,147
26,149
27,151
28,152
29,153
30,165
31,171
32,174
33,179
34,181
35,182
36,184
37,192
38,194
39,196
40,202
41,217
42,232
43,239
44,241
45,244
46,248
47,252
48,256
49,258
50,265
51,285
52,287
53,288
54,290
55,292
56,302
57,311
58,312
59,315
60,318
61,332
62,339
63,353
64,363
65,371
66,372
67,376
68,382
69,393
70,395
71,399
72,404
73,407
74,410
75,412
76,413
77,419
78,426
79,443
80,444
81,452
82,453
83,455
84,462
85,463
86,465
87,477
88,482
89,484
90,487
91,488
92,491
93,510
94,533
95,536
96,537
