Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,846,249
2,92,251
3,149,252
4,197,253
5,435,255
6,853,263
7,826,273
8,66,282
9,443,285
10,568,286
11,462,294
12,692,298
13,664,300
14,322,302
15,475,305
16,20,308
17,994,311
18,192,316
19,119,318
20,419,323
21,223,327
22,535,330
23,374,337
24,965,340
25,935,347
26,58,348
27,768,349
28,297,356
29,469,365
30,592,369
31,956,370
32,464,375
33,992,376
34,333,377
35,734,379
36,702,380
37,582,384
38,731,388
39,701,389
40,202,390
41,142,393
42,1008,395
43,194,397
44,36,399
45,607,402
46,899,404
47,705,407
48,217,409
49,416,414
50,503,415
51,989,438
52,179,446
53,875,451
54,679,454
55,422,455
56,216,471
57,474,476
58,527,489
59,133,500
60,634,506
61,257,510
62,430,511
63,629,512
