Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,45,403
2,775,404
3,255,416
4,471,417
5,714,421
6,386,424
7,759,425
8,426,430
9,710,434
10,731,436
11,470,439
12,19,446
13,351,452
14,456,474
15,284,491
16,206,493
17,843,494
18,462,498
19,906,503
20,419,505
21,792,509
22,428,514
23,828,526
24,776,527
25,402,536
26,222,537
27,814,538
28,964,547
29,340,550
30,698,553
31,469,558
32,855,559
33,789,565
34,169,572
35,883,580
36,1000,581
37,544,587
38,902,593
39,618,594
40,156,595
41,207,599
42,438,606
43,766,615
44,847,617
45,809,628
46,328,633
47,564,644
48,93,650
49,113,654
50,137,657
51,702,664
52,523,666
53,191,674
54,524,680
55,147,685
56,59,691
57,873,715
58,592,718
59,946,723
60,721,744
61,613,745
62,835,770
63,899,778
64,998,786
65,1,788
66,884,793
67,639,794
68,999,798
69,554,808
70,504,810
71,818,829
72,521,834
73,919,839
74,602,845
75,864,846
76,753,857
77,611,859
78,253,863
79,687,867
80,85,878
81,649,886
82,682,888
83,747,892
84,909,912
85,991,917
86,782,930
87,603,932
88,941,942
89,600,945
90,17,955
91,124,960
92,879,978
93,499,979
94,860,988
95,215,995
96,571,1001
