Extra_VNs,Payload_VNs
1,3
2,4
3,7
4,8
5,11
6,12
7,13
8,20
9,22
10,25
11,28
12,30
13,31
14,32
15,35
16,36
17,39
18,40
19,41
20,45
21,48
22,51
23,52
24,53
25,54
26,55
27,58
28,59
29,60
30,63
31,67
32,70
33,73
34,74
35,75
36,80
37,81
38,82
39,83
40,88
41,93
42,96
43,98
44,100
45,102
46,105
47,106
48,107
49,111
50,115
51,119
52,120
53,121
54,122
55,125
56,128
57,132
58,135
59,139
60,141
61,142
62,148
63,150
64,151
65,152
66,153
67,159
68,160
69,161
70,162
71,165
72,168
73,170
74,171
75,172
76,176
77,178
78,181
79,182
80,184
81,185
82,186
83,187
84,190
85,193
86,194
87,196
88,197
89,198
90,200
91,203
92,205
93,209
94,211
95,215
96,218
