Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,594,247
2,385,249
3,125,250
4,671,251
5,816,252
6,485,253
7,107,255
8,317,260
9,189,261
10,336,263
11,504,266
12,592,273
13,523,282
14,583,283
15,959,285
16,696,286
17,973,289
18,281,291
19,727,294
20,343,298
21,724,299
22,744,300
23,83,302
24,301,304
25,267,305
26,720,307
27,874,308
28,416,311
29,821,316
30,726,318
31,13,320
32,659,321
33,452,323
34,933,327
35,1,328
36,526,330
37,487,337
38,525,340
39,811,347
40,381,348
41,826,349
42,538,352
43,46,356
44,208,359
45,768,364
46,540,365
47,185,369
48,411,370
49,669,375
50,224,376
51,785,377
52,287,379
53,935,380
54,324,383
55,807,384
56,219,388
57,344,389
58,111,390
59,642,393
60,736,395
61,615,396
62,490,397
63,702,399
64,704,402
65,733,404
66,692,405
67,965,407
68,240,409
69,760,414
70,276,415
71,142,417
72,666,438
73,513,444
74,522,445
75,716,446
76,818,451
77,421,454
78,715,455
79,478,459
80,877,461
81,869,462
82,297,471
83,674,475
84,641,476
85,606,489
86,899,492
87,312,500
88,372,503
89,139,506
90,958,510
91,700,511
92,544,512
93,695,516
94,610,517
95,705,518
96,607,527
