Extra_VNs,Payload_VNs
1,2
2,3
3,5
4,7
5,8
6,9
7,11
8,12
9,16
10,18
11,19
12,20
13,25
14,32
15,34
16,38
17,39
18,40
19,45
20,48
21,49
22,51
23,55
24,56
25,60
26,62
27,67
28,70
29,74
30,77
31,78
32,79
33,80
34,81
35,82
36,91
37,95
38,98
39,99
40,102
41,104
42,106
43,108
44,109
45,110
46,114
47,119
48,121
49,122
50,127
51,128
52,129
53,131
54,132
55,135
56,137
57,141
58,146
59,147
60,148
61,149
62,150
63,151
64,156
65,157
66,159
67,160
68,162
69,165
70,167
71,168
72,170
73,175
74,178
75,180
76,184
77,187
78,190
79,197
80,198
81,200
82,211
83,213
84,218
85,221
86,222
87,228
88,229
89,236
90,237
91,239
92,241
93,242
94,243
95,244
96,246
