Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,791,666
2,1138,683
3,1272,693
4,2045,696
5,2188,698
6,286,702
7,500,704
8,988,723
9,160,725
10,1428,727
11,923,758
12,494,766
13,581,778
14,2406,779
15,1824,780
16,1283,783
17,2423,789
18,295,796
19,1996,800
20,1970,801
21,1531,827
22,517,829
23,1626,846
24,823,847
25,380,875
26,592,879
27,2377,883
28,205,885
29,671,890
30,150,895
31,1214,899
32,38,902
33,2386,905
34,550,908
35,267,914
36,850,916
37,1254,930
38,292,939
39,2629,942
40,920,943
41,821,948
42,177,970
43,825,974
44,131,982
45,1391,987
46,2042,989
47,1717,996
48,258,1001
49,235,1018
50,2086,1020
51,2407,1024
52,1465,1028
53,319,1032
54,2209,1035
55,938,1039
56,814,1052
57,2000,1060
58,29,1072
59,138,1083
60,1809,1099
61,1646,1106
62,1446,1118
63,1958,1121
64,1903,1123
65,2100,1129
66,797,1132
67,1869,1139
68,1522,1140
69,1095,1145
70,181,1147
71,2097,1149
72,937,1207
73,1655,1208
74,1988,1212
75,306,1213
76,373,1221
77,1504,1230
78,1333,1248
79,2368,1252
80,2147,1260
81,1968,1270
82,145,1277
83,215,1291
84,257,1292
85,2145,1293
86,2501,1296
87,1846,1325
88,386,1331
89,1940,1332
90,327,1334
91,349,1342
92,1737,1346
93,913,1355
94,1773,1376
95,2013,1377
96,1589,1383
