Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,419,1157
2,971,1180
3,1886,1235
4,913,1241
5,1306,1245
6,756,1248
7,115,1258
8,552,1265
9,1521,1277
10,643,1282
11,198,1305
12,956,1309
13,678,1332
14,1395,1334
15,983,1339
16,1528,1340
17,1554,1346
18,376,1347
19,266,1353
20,1563,1354
21,1201,1366
22,83,1372
23,1707,1377
24,962,1403
25,1016,1407
26,1144,1422
27,1435,1424
28,1627,1430
29,703,1433
30,200,1436
31,1383,1439
32,616,1447
33,1597,1451
34,684,1454
35,1575,1455
36,354,1465
37,276,1469
38,1675,1472
39,131,1489
40,1290,1506
41,1382,1507
42,804,1509
43,698,1510
44,1866,1513
45,732,1518
46,810,1531
47,322,1536
48,605,1544
49,585,1551
50,1705,1553
51,473,1555
52,579,1556
53,753,1577
54,1329,1584
55,299,1589
56,1659,1604
57,196,1614
58,855,1615
59,107,1645
60,1419,1651
61,1315,1653
62,420,1655
63,1276,1657
