Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1766,1191
2,1569,1215
3,1693,1237
4,1068,1244
5,1069,1245
6,1613,1248
7,114,1249
8,1673,1260
9,732,1261
10,118,1269
11,1393,1270
12,314,1272
13,1110,1276
14,478,1279
15,594,1281
16,722,1282
17,731,1287
18,696,1297
19,1119,1299
20,333,1303
21,369,1309
22,214,1310
23,593,1315
24,1442,1320
25,445,1322
26,1380,1324
27,1285,1336
28,1548,1343
29,1557,1344
30,543,1345
31,569,1365
32,955,1373
33,598,1378
34,1564,1385
35,1521,1387
36,1020,1389
37,491,1391
38,1254,1392
39,441,1394
40,830,1403
41,694,1408
42,988,1409
43,1886,1432
44,1414,1435
45,1864,1441
46,442,1444
47,965,1450
48,141,1452
49,1417,1463
50,1104,1466
51,1623,1469
52,1880,1471
53,1761,1480
54,739,1481
55,57,1488
56,992,1494
57,397,1495
58,417,1504
59,597,1512
60,215,1528
61,1397,1537
62,1399,1543
63,997,1550
