Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,309,263
2,64,264
3,32,265
4,294,266
5,251,268
6,466,270
7,345,274
8,313,276
9,230,277
10,111,278
11,464,280
12,236,281
13,30,283
14,326,284
15,228,287
16,40,288
17,407,291
18,144,293
19,102,295
20,68,299
21,138,300
22,103,305
23,310,311
24,43,322
25,119,323
26,131,327
27,404,330
28,198,341
29,357,342
30,286,346
31,368,348
32,67,349
33,489,350
34,393,351
35,37,353
36,205,355
37,146,359
38,301,360
39,101,372
40,269,373
41,285,376
42,279,383
43,196,386
44,31,387
45,229,388
46,180,389
47,66,400
48,202,416
49,199,418
50,246,421
51,379,422
52,334,424
53,403,425
54,38,426
55,98,427
56,201,430
57,459,431
58,370,432
59,195,433
60,148,434
61,41,435
62,352,436
63,227,437
