Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,925,626
2,682,627
3,577,636
4,304,637
5,943,638
6,130,644
7,701,645
8,603,661
9,820,662
10,348,663
11,720,665
12,822,669
13,286,671
14,497,674
15,995,676
16,493,678
17,292,680
18,575,681
19,317,688
20,729,691
21,360,692
22,435,696
23,655,699
24,985,709
25,287,714
26,828,715
27,706,721
28,962,722
29,55,725
30,312,726
31,618,732
32,249,736
33,210,739
34,673,740
35,579,743
36,537,753
37,615,756
38,68,758
39,306,767
40,388,768
41,218,769
42,684,770
43,846,774
44,250,779
45,702,784
46,138,788
47,827,789
48,139,790
49,532,793
50,322,795
51,783,797
52,443,798
53,429,802
54,880,805
55,308,807
56,386,811
57,972,814
58,63,816
59,986,817
60,177,818
61,625,823
62,530,824
63,633,826
