Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,460,630
2,902,639
3,535,640
4,154,641
5,191,643
6,356,644
7,726,655
8,818,665
9,769,666
10,285,667
11,477,670
12,102,672
13,120,673
14,140,674
15,642,675
16,437,676
17,183,677
18,438,679
19,149,680
20,73,682
21,861,685
22,507,688
23,952,694
24,660,696
25,532,697
26,801,698
27,898,705
28,1010,707
29,31,709
30,874,710
31,568,711
32,1011,725
33,469,727
34,417,729
35,780,730
36,214,733
37,435,736
38,922,739
39,519,740
40,848,747
41,713,749
42,531,750
43,228,758
44,622,771
45,96,773
46,578,775
47,616,779
48,702,783
49,910,785
50,1002,788
51,745,790
52,521,791
53,946,792
54,514,799
55,44,803
56,127,804
57,867,805
58,414,806
59,842,809
60,198,811
61,485,813
62,579,814
63,56,815
