Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,357,230
2,559,231
3,535,232
4,252,233
5,14,243
6,806,251
7,156,253
8,100,259
9,320,261
10,183,262
11,424,263
12,297,268
13,782,274
14,761,275
15,47,277
16,622,288
17,237,291
18,365,293
19,475,296
20,776,314
21,360,316
22,804,319
23,264,324
24,590,329
25,565,333
26,464,335
27,588,336
28,564,340
29,163,348
30,118,354
31,816,355
32,159,356
33,30,359
34,486,362
35,732,369
36,569,370
37,177,374
38,397,375
39,802,384
40,144,385
41,714,386
42,549,387
43,322,394
44,179,395
45,368,398
46,417,403
47,113,409
48,503,410
49,202,413
50,330,414
51,500,420
52,222,427
53,255,431
54,529,432
55,235,434
56,694,443
57,803,444
58,620,447
59,299,453
60,499,456
61,96,457
62,749,460
63,731,467
