Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,696,157
2,805,159
3,621,167
4,305,169
5,507,171
6,104,173
7,751,174
8,733,176
9,688,177
10,236,178
11,518,185
12,20,187
13,372,197
14,154,199
15,170,205
16,371,208
17,92,209
18,525,210
19,415,216
20,594,217
21,596,229
22,32,230
23,58,231
24,287,232
25,466,233
26,360,239
27,695,242
28,614,243
29,797,247
30,464,248
31,290,251
32,105,253
33,536,259
34,662,261
35,368,262
36,88,263
37,244,268
38,150,274
39,257,275
40,391,277
41,471,278
42,405,288
43,734,291
44,458,293
45,779,296
46,559,302
47,786,304
48,219,309
49,581,314
50,264,316
51,579,319
52,595,324
53,56,329
54,204,333
55,576,335
56,712,336
57,308,338
58,664,340
59,580,342
60,8,348
61,528,354
62,339,355
63,761,356
