Extra_VNs,Payload_VNs
1,1
2,2
3,3
4,4
5,6
6,10
7,11
8,14
9,16
10,18
11,19
12,20
13,21
14,23
15,25
16,29
17,30
18,35
19,36
20,38
21,39
22,43
23,44
24,45
25,46
26,49
27,50
28,55
29,56
30,59
31,61
32,63
33,65
34,66
35,69
36,70
37,74
38,76
39,77
40,79
41,81
42,82
43,84
44,85
45,86
46,87
47,88
48,92
49,96
50,98
51,100
52,104
53,105
54,110
55,111
56,118
57,121
58,123
59,124
60,126
61,131
62,132
63,133
64,134
65,136
66,138
67,139
68,141
69,144
70,145
71,148
72,152
73,154
74,162
75,163
76,165
77,167
78,169
79,171
80,177
81,182
82,184
83,185
84,186
85,187
86,188
87,192
88,193
89,198
90,199
91,202
92,204
93,208
94,209
95,211
96,212
