Payloadb_NonPunc(b),Payloadc_Punc(c)
154,347
695,348
809,351
750,354
922,359
911,363
379,365
734,368
240,370
37,373
776,378
551,381
531,387
924,393
654,395
662,404
882,405
833,406
621,409
223,415
282,418
906,421
35,436
539,437
209,447
991,448
746,450
548,452
519,456
77,462
719,463
56,467
100,474
574,478
846,486
844,489
755,495
195,499
698,506
568,512
986,514
686,515
826,516
496,525
475,528
853,534
114,547
180,549
218,552
433,553
859,558
829,565
82,572
442,578
579,580
461,583
694,584
669,596
332,623
477,626
16,637
995,645
212,657
155,658
417,675
248,697
384,707
967,715
939,725
68,745
771,767
315,769
471,770
602,778
957,787
465,799
994,812
340,820
736,828
705,830
592,835
733,845
704,854
222,869
173,873
1008,895
214,905
40,908
611,930
901,934
708,949
239,958
413,962
509,964
990,976
200,1005
