Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,613,604
2,282,609
5,621,611
8,727,635
9,238,636
10,129,648
11,319,657
14,342,658
15,446,660
16,527,661
17,99,662
19,283,672
20,821,687
23,34,721
24,943,723
26,746,737
28,507,750
29,597,752
31,253,758
33,480,769
35,976,778
37,566,786
41,540,795
43,246,800
44,506,801
45,645,806
48,700,807
52,416,814
55,386,815
58,997,818
59,45,824
60,899,832
61,928,844
63,812,849
65,111,852
68,281,871
69,356,874
73,699,904
74,153,908
76,739,909
78,119,914
79,676,917
82,514,918
85,794,945
87,732,950
88,921,970
90,903,975
95,353,1004
