VN , Girth 
0 , 2
1 , 7
2 , 2
3 , 1
4 , 6
5 , 4
6 , 5
7 , 4
8 , 5
9 , 2
10 , 3
11 , 2
12 , 6
13 , 5
14 , 7
15 , 4
16 , 3
17 , 8
18 , 4
19 , 3
20 , 4
21 , 3
22 , 5
23 , 3
24 , 6
25 , 7
26 , 3
27 , 3
28 , 3
29 , 10
30 , 5
31 , 4
32 , 6
33 , 5
34 , 3
35 , 4
36 , 6
37 , 8
38 , 2
39 , 2
40 , 2
41 , 2
42 , 6
43 , 7
44 , 5
45 , 5
46 , 6
47 , 3
48 , 4
49 , 7
50 , 4
51 , 4
52 , 4
53 , 5
54 , 5
55 , 3
56 , 5
57 , 5
58 , 4
59 , 4
60 , 6
61 , 3
62 , 4
63 , 9
64 , 5
65 , 4
66 , 3
67 , 5
68 , 4
69 , 5
70 , 6
71 , 4
72 , 5
73 , 5
74 , 6
75 , 4
76 , 4
77 , 7
78 , 2
79 , 5
80 , 1
81 , 8
82 , 7
83 , 5
84 , 5
85 , 4
86 , 4
87 , 2
88 , 5
89 , 4
90 , 4
91 , 5
92 , 5
93 , 5
94 , 5
95 , 5
