Extra_VNs,Payload_VNs
30,396
64,129
18,639
38,935
82,373
2,842
15,9
26,914
44,636
50,43
78,658
83,233
5,582
13,451
25,769
33,169
37,642
43,56
47,46
61,817
71,603
75,158
7,167
9,340
14,921
23,30
31,775
34,271
45,810
46,139
54,742
55,93
57,748
58,822
65,701
68,134
70,489
73,623
74,244
80,720
84,239
85,505
89,837
92,59
93,946
94,88
95,238
96,709
6,395
8,391
16,33
19,762
21,111
32,973
36,962
49,34
51,453
52,264
53,484
59,971
60,351
63,290
66,862
69,277
72,813
76,147
77,390
86,798
87,811
90,757
91,283
11,791
17,262
20,401
22,186
24,514
27,924
