Extra_VNs,Payload_VNs
1,916
2,401
3,264
4,134
5,262
6,340
7,973
9,93
11,416
12,817
13,233
14,813
15,391
16,505
18,56
19,373
21,639
22,139
23,971
24,181
25,399
26,59
27,642
28,10
29,395
30,286
31,451
32,748
33,453
34,167
35,28
37,798
38,762
39,88
40,351
41,946
42,935
43,390
44,837
45,666
46,111
47,962
48,921
49,169
50,158
51,791
52,186
53,489
54,563
55,283
57,1003
58,548
59,46
60,484
61,969
62,514
63,939
64,701
67,857
69,43
71,825
72,769
79,277
82,271
83,147
84,603
85,33
86,9
87,775
88,537
89,396
90,551
91,811
92,822
93,582
94,810
96,30
