Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,455,743
2,429,336
3,977,390
4,625,175
5,706,642
6,730,712
7,347,762
8,517,427
9,554,472
10,167,88
11,560,822
12,707,370
13,424,127
14,850,681
15,742,623
16,358,678
17,453,156
18,386,586
19,786,431
20,747,35
21,428,219
22,703,108
23,957,593
24,796,186
25,714,851
26,114,666
27,391,49
28,590,220
29,457,380
30,51,3
31,232,657
32,849,548
33,16,199
34,882,236
35,82,979
36,676,763
37,500,125
38,224,26
39,568,252
40,130,596
41,680,628
42,600,75
43,59,792
44,61,430
45,164,120
46,20,720
47,437,841
48,848,630
49,622,835
50,519,389
51,885,377
52,107,505
53,925,610
54,118,972
55,515,618
56,155,293
57,557,738
58,5,38
59,780,12
60,868,99
61,934,148
62,999,200
63,502,157
64,276,8
65,111,614
66,507,567
67,588,103
68,773,866
69,91,992
70,668,847
71,514,278
72,187,21
73,953,988
74,592,97
75,436,150
76,955,192
77,661,152
78,447,66
79,858,813
80,530,81
81,549,327
82,690,932
83,359,812
84,246,888
85,575,943
86,887,857
87,402,790
88,124,159
89,440,239
90,301,843
91,399,532
92,846,494
93,401,585
94,351,726
95,151,490
96,262,102
