Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,450,895
2,406,896
3,416,897
4,294,898
5,471,899
6,473,900
7,770,905
8,731,910
9,587,917
10,354,918
11,765,920
12,491,927
13,330,931
14,913,932
15,834,933
16,505,934
17,567,935
18,537,936
19,206,937
20,285,938
21,434,939
22,225,940
23,802,941
24,194,942
25,222,943
26,173,944
27,226,945
28,404,951
29,298,961
30,883,962
31,399,963
32,185,964
33,863,965
34,985,966
35,409,967
36,122,968
37,252,969
38,382,970
39,548,971
40,255,972
41,555,973
42,646,974
43,217,975
44,128,978
45,286,980
46,307,987
47,397,990
48,474,991
49,100,995
50,257,1006
51,753,1007
52,54,1008
53,903,1009
54,663,1010
55,456,1011
56,534,1012
57,234,1013
58,430,1014
59,954,1015
60,509,1016
61,485,1017
62,228,1018
63,457,1019
64,577,1020
