Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,630,142
2,664,712
3,745,60
4,906,560
5,993,556
6,785,870
7,578,485
8,940,422
9,575,699
10,16,751
11,876,541
12,472,390
13,859,52
14,190,607
15,544,275
16,631,2
17,30,887
18,617,381
19,349,569
20,47,846
21,481,418
22,176,892
23,117,471
24,188,960
25,137,981
26,174,17
27,41,506
28,641,238
29,277,548
30,535,236
31,711,230
32,493,987
33,532,779
34,119,862
35,486,227
36,871,332
37,890,173
38,261,499
39,195,85
40,562,640
41,646,273
42,405,734
43,191,930
44,963,357
45,77,704
46,133,658
47,156,757
48,628,652
49,577,245
50,49,849
51,946,954
52,747,601
53,758,884
54,62,692
55,877,216
56,949,250
57,996,458
58,872,787
59,803,913
60,507,811
61,165,432
62,386,701
63,126,264
64,28,310
65,952,438
66,298,941
67,293,702
68,326,707
69,455,371
70,656,346
71,23,359
72,856,957
73,554,934
74,867,511
75,340,252
76,433,436
77,55,771
78,166,733
79,676,362
80,322,229
81,915,304
82,113,595
83,1000,804
84,537,572
85,724,514
86,1008,784
87,284,285
88,404,533
89,453,891
90,781,586
91,833,854
92,98,754
93,167,610
94,354,291
95,56,594
96,521,94
