Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,540,685
2,209,860
3,334,238
4,524,774
5,219,985
6,253,583
7,651,563
8,222,841
9,896,809
10,997,633
11,716,502
12,395,803
13,599,231
14,44,534
15,950,232
16,911,116
17,856,499
18,296,430
19,432,40
20,3,675
21,322,781
22,203,407
23,135,678
24,575,472
25,724,851
26,885,844
27,408,275
28,371,632
29,969,607
30,719,557
31,140,873
32,47,309
33,511,399
34,516,111
35,428,930
36,570,663
37,287,535
38,636,660
39,497,566
40,641,687
41,313,558
42,66,723
43,20,552
44,595,967
45,757,248
46,345,110
47,2,117
48,380,53
49,148,485
50,629,513
51,568,475
52,608,793
53,474,652
54,907,814
55,600,937
56,955,958
57,571,260
58,973,147
59,250,705
60,609,98
61,241,605
62,681,606
63,776,875
64,7,555
65,255,505
66,271,692
67,825,703
68,931,556
69,223,427
70,337,159
71,308,639
72,52,312
73,871,39
74,756,762
75,1006,251
76,194,517
77,878,690
78,779,424
79,936,735
80,986,438
81,163,688
82,832,654
83,75,476
84,767,16
85,55,245
86,564,392
87,377,221
88,91,127
89,350,840
90,585,554
91,95,858
92,788,336
93,207,816
94,889,240
95,925,870
96,713,839
