Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,370,743
8,194,547
13,491,190
18,338,262
19,958,928
23,926,10
27,53,460
28,749,202
29,267,971
31,420,718
33,554,526
34,949,438
35,413,71
41,298,687
43,712,12
44,672,143
45,543,646
46,710,206
48,671,948
52,172,898
53,125,764
54,1008,260
58,167,732
59,33,546
60,569,967
61,884,419
62,676,955
63,186,299
65,367,657
68,992,989
69,154,62
70,860,341
73,649,866
74,374,969
76,187,979
77,428,963
79,483,435
81,116,539
82,601,633
83,225,570
85,383,767
86,594,795
88,248,150
90,290,682
91,627,73
92,264,803
94,836,148
95,993,42
