Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,685,740
2,604,1
4,808,45
6,382,693
9,220,660
11,97,510
12,788,717
14,221,711
17,404,760
21,560,289
22,243,687
24,644,493
25,495,333
26,165,53
28,801,836
30,110,323
31,309,659
34,252,735
36,541,154
38,101,279
39,421,544
42,115,434
44,125,879
48,807,806
50,308,731
51,613,264
52,975,703
54,448,118
55,705,805
57,775,984
58,447,730
59,661,145
62,122,694
63,948,768
65,204,783
66,280,739
76,822,163
77,501,232
79,787,795
82,411,81
83,285,708
84,36,54
87,677,713
89,445,757
91,468,704
92,618,40
93,64,133
94,338,557
