Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,824,455
2,593,432
3,190,453
4,244,340
5,901,540
6,33,551
7,500,819
8,175,815
9,990,638
10,731,380
11,510,836
12,481,554
13,60,395
14,701,958
15,45,874
16,76,536
17,532,652
18,102,572
19,837,254
20,835,367
21,741,522
22,157,215
23,678,816
24,527,108
25,667,360
26,817,69
27,460,665
28,440,723
29,845,886
30,86,961
31,141,393
32,187,278
33,391,871
34,850,719
35,822,341
36,62,145
37,403,548
38,541,657
39,425,685
40,676,179
41,641,26
42,294,329
43,442,11
44,17,73
45,995,161
46,178,345
47,114,417
48,373,705
49,211,24
50,503,319
51,339,734
52,968,713
53,937,954
54,55,883
55,759,567
56,276,656
57,435,200
58,570,448
59,960,928
60,427,675
61,994,487
62,302,138
63,721,646
64,688,863
65,558,912
66,718,431
67,687,698
68,191,921
69,133,911
70,1008,998
71,183,305
72,36,84
73,581,539
74,897,722
75,691,304
76,205,520
77,369,9
78,474,795
79,991,120
80,163,612
81,870,559
82,658,757
83,376,545
84,204,589
85,441,529
86,494,419
87,125,677
88,607,164
89,236,3
90,385,660
91,603,415
92,260,262
93,295,796
94,634,413
95,272,347
96,846,355
