Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
3,654,854
5,967,940
6,243,742
8,291,358
10,690,618
11,714,114
14,67,906
15,257,880
16,226,764
18,686,273
22,860,662
23,344,35
29,797,484
30,693,333
31,6,144
35,609,198
37,389,380
43,926,74
44,1,712
46,474,558
47,435,747
48,473,762
49,787,560
51,321,68
54,802,213
55,485,351
56,37,356
57,179,937
58,740,408
60,154,983
62,341,608
64,615,993
68,195,384
69,757,103
70,246,571
76,929,918
78,270,499
79,784,287
81,191,101
82,293,365
83,92,229
84,588,479
86,703,765
89,556,640
91,438,550
92,663,759
93,666,653
95,700,697
