Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,211,731
2,914,734
3,661,738
4,448,740
5,923,751
6,120,756
7,741,759
8,727,760
9,549,762
10,189,764
11,583,766
12,289,769
13,146,771
14,215,781
15,901,785
16,91,790
17,242,791
18,76,794
19,417,798
20,42,802
21,905,807
22,202,809
23,112,812
24,300,817
25,439,831
26,121,833
27,1015,840
28,322,850
29,291,853
30,84,854
31,294,858
32,70,868
33,496,869
34,763,878
35,625,887
36,110,894
37,102,902
38,782,911
39,916,912
40,526,915
41,130,921
42,832,922
43,330,924
44,288,925
45,744,926
46,39,929
47,73,930
48,658,946
49,597,949
50,513,954
51,723,959
52,697,960
53,787,978
54,282,980
55,680,982
56,550,984
57,377,985
58,86,991
59,788,1007
60,329,1009
61,600,1012
62,739,1014
63,127,1016
64,149,1020
