Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,89,372
2,872,374
3,167,379
4,405,384
5,651,401
6,1007,406
7,547,407
8,999,412
9,251,416
10,435,425
11,722,427
12,75,433
13,769,434
14,456,437
15,831,452
16,414,454
17,354,474
18,993,481
19,742,490
20,448,496
21,113,502
22,756,507
23,662,512
24,83,514
25,137,515
26,989,518
27,529,527
28,22,530
29,61,550
30,166,551
31,907,555
32,498,556
33,592,557
34,528,575
35,80,578
36,912,580
37,321,589
38,298,595
39,627,596
40,508,602
41,400,605
42,682,618
43,949,619
44,649,623
45,311,636
46,228,639
47,473,666
48,32,676
49,892,684
50,554,687
51,62,696
52,881,701
53,477,703
54,601,704
55,709,707
56,403,711
57,95,720
58,489,730
59,56,737
60,763,740
61,44,754
62,965,765
63,767,770
64,947,785
65,546,787
66,268,788
67,289,796
68,782,800
69,1003,804
70,390,809
71,776,814
72,131,821
73,630,825
74,464,832
75,753,834
76,290,842
77,116,849
78,485,857
79,669,860
80,159,864
81,487,870
82,680,873
83,850,910
84,342,915
85,439,917
86,900,921
87,727,939
88,266,940
89,786,950
90,324,957
91,306,962
92,8,968
93,411,970
94,471,977
95,339,997
96,325,1000
