Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,997,1035
2,2491,1056
3,47,1074
4,2201,1083
5,1672,1122
6,1444,1123
7,1735,1124
8,1932,1131
9,254,1167
10,2325,1173
11,37,1179
12,793,1185
13,489,1186
14,2451,1194
15,187,1211
16,1553,1234
17,1700,1248
18,1738,1269
19,2289,1274
20,152,1287
21,2168,1295
22,1417,1301
23,1852,1312
24,578,1332
25,1453,1341
26,1873,1358
27,2529,1361
28,1196,1379
29,232,1381
30,157,1462
31,1679,1488
32,2115,1496
33,1842,1510
34,932,1523
35,2505,1524
36,1394,1570
37,2522,1629
38,202,1632
39,562,1634
40,2059,1641
41,2419,1659
42,2078,1662
43,798,1674
44,415,1684
45,2247,1701
46,2084,1715
47,730,1739
48,617,1742
49,870,1761
50,2202,1766
51,2180,1800
52,1521,1817
53,1527,1831
54,771,1832
55,1861,1841
56,2113,1844
57,1184,1926
58,1199,1941
59,1249,1944
60,750,1951
61,1796,1965
62,2405,1996
63,1983,2000
64,699,2011
65,1834,2018
66,354,2055
67,332,2066
68,518,2073
69,394,2090
70,1560,2097
71,199,2124
72,2184,2129
73,1920,2130
74,2450,2183
75,1320,2186
76,1744,2228
77,2357,2295
78,1436,2301
79,761,2311
80,2582,2323
81,101,2332
82,885,2367
83,2573,2371
84,986,2372
85,833,2387
86,323,2411
87,2424,2430
88,364,2467
89,901,2477
90,2376,2492
91,1339,2533
92,1636,2540
93,1554,2570
94,1859,2574
95,81,2586
96,1411,2622
