Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
-1, 1, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.499375, 0.480625, 0.480573, 0.480573, 0.481094, 0.481875, 0.482135, 0.481979, 0.481875, 0.481771, 0.481771, 0.481771, 0.481771, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 0.481719, 
-0.75, 1, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.502708, 0.480521, 0.480573, 0.480573, 0.480677, 0.478906, 0.478958, 0.479167, 0.478906, 0.479115, 0.479271, 0.479219, 0.479115, 0.479219, 0.479167, 0.479219, 0.479219, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 0.479167, 
-0.5, 1, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.492604, 0.471406, 0.47151, 0.47151, 0.471406, 0.472813, 0.471823, 0.471458, 0.47125, 0.471094, 0.471458, 0.471354, 0.471406, 0.471406, 0.471458, 0.471458, 0.471458, 0.471458, 0.471458, 0.471458, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 0.47151, 
-0.25, 1, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.467865, 0.4675, 0.4675, 0.467031, 0.46724, 0.467187, 0.46625, 0.466875, 0.467187, 0.467135, 0.467031, 0.467031, 0.467135, 0.467187, 0.467135, 0.467031, 0.467031, 0.467083, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 
0, 1, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.497708, 0.465521, 0.465365, 0.465365, 0.466198, 0.466875, 0.466927, 0.467135, 0.467135, 0.466823, 0.467031, 0.467135, 0.467031, 0.466979, 0.467083, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 0.467031, 
0.25, 1, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.495521, 0.46, 0.45974, 0.45974, 0.460365, 0.460052, 0.461042, 0.460104, 0.460417, 0.460052, 0.459531, 0.459531, 0.459479, 0.459531, 0.459479, 0.459583, 0.459635, 0.459583, 0.459583, 0.459583, 0.459635, 0.459583, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 0.459635, 
0.5, 1, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.500625, 0.451406, 0.451094, 0.451094, 0.451667, 0.452188, 0.451042, 0.451042, 0.451458, 0.451979, 0.452396, 0.452292, 0.452552, 0.452552, 0.45276, 0.452552, 0.4525, 0.452396, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 
0.75, 1, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.498437, 0.446302, 0.446146, 0.446146, 0.446094, 0.443698, 0.445052, 0.445573, 0.446615, 0.446979, 0.446771, 0.446042, 0.446354, 0.446562, 0.446562, 0.446719, 0.44651, 0.446354, 0.446406, 0.446458, 0.446406, 0.446354, 0.446354, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 0.446458, 
1, 1, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.502917, 0.443698, 0.443594, 0.443594, 0.444531, 0.443958, 0.444323, 0.444583, 0.44474, 0.444479, 0.444427, 0.444583, 0.445, 0.445312, 0.444948, 0.445156, 0.445104, 0.445208, 0.44526, 0.445156, 0.445208, 0.445208, 0.445156, 0.445208, 0.445156, 0.445208, 0.445156, 0.44526, 0.445156, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 0.445208, 
1.25, 1, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.501667, 0.425521, 0.425938, 0.425833, 0.426563, 0.427969, 0.428802, 0.42776, 0.427083, 0.426667, 0.426719, 0.42724, 0.427448, 0.427448, 0.427344, 0.4275, 0.427552, 0.427448, 0.427396, 0.427708, 0.427552, 0.427344, 0.427448, 0.427396, 0.42724, 0.427187, 0.427135, 0.427292, 0.427187, 0.427292, 0.427292, 0.427344, 0.427344, 0.427344, 0.427344, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.42724, 0.42724, 0.42724, 0.42724, 0.42724, 0.42724, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427292, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427344, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 0.427396, 
