Extra_VNs,Payload_VNs
1,5
2,6
3,11
4,13
5,15
6,24
7,26
8,28
9,29
10,31
11,34
12,38
13,46
14,51
15,55
16,60
17,63
18,68
19,70
20,73
21,74
22,75
23,76
24,79
25,80
26,82
27,83
28,85
29,86
30,89
31,91
32,97
33,99
34,101
35,103
36,107
37,110
38,111
39,126
40,128
41,129
42,132
43,133
44,137
45,138
46,140
47,141
48,146
49,147
50,152
51,155
52,157
53,167
54,169
55,171
56,174
57,178
58,199
59,205
60,208
61,209
62,217
63,229
64,230
65,231
66,232
67,233
68,243
69,251
70,253
71,259
72,261
73,262
74,263
75,268
76,274
77,275
78,277
79,278
80,288
81,291
82,293
83,296
84,314
85,316
86,319
87,324
88,329
89,333
90,335
91,336
92,340
93,348
94,354
95,355
96,356
