96 48
0 7 2.0521984100341797
0 19 2.297938823699951
0 35 2.205160617828369
0 55 2.330724000930786
0 79 2.0476627349853516
0 80 2.4541540145874023
1 5 2.2402048110961914
1 18 2.4390928745269775
1 46 2.079106092453003
1 51 2.309004545211792
1 66 2.198671579360962
1 94 2.3425800800323486
2 9 2.5402472019195557
2 24 2.1920948028564453
2 43 1.9179049730300903
2 59 2.201064109802246
2 70 2.3966064453125
2 93 2.3922271728515625
3 8 2.3590970039367676
3 27 2.334122896194458
3 39 2.4136321544647217
3 49 2.1793456077575684
3 76 2.332240343093872
3 90 2.2754743099212646
4 1 2.302824020385742
4 17 1.907240629196167
4 44 2.2406699657440186
4 58 2.2050254344940186
4 68 2.6042532920837402
4 87 2.6104660034179688
5 14 2.3647663593292236
5 28 2.579167604446411
5 33 2.183138847351074
5 63 2.0049633979797363
5 75 2.3961000442504883
5 84 2.3810670375823975
6 11 2.7355339527130127
6 20 2.4218578338623047
6 37 2.0150954723358154
6 62 2.3558385372161865
6 64 2.307778835296631
6 86 2.4636857509613037
7 12 2.2000913619995117
7 26 2.5426275730133057
7 32 2.041438341140747
7 52 2.145507335662842
7 78 2.53141450881958
7 82 1.959312081336975
8 6 2.489114999771118
8 29 1.879741907119751
8 34 2.7037041187286377
8 50 2.60746169090271
8 74 2.2315289974212646
8 83 2.5693225860595703
9 0 2.4794795513153076
9 21 2.3749547004699707
9 47 2.2731072902679443
9 48 2.336378574371338
9 67 1.8839408159255981
9 95 2.0766775608062744
10 10 2.396035671234131
10 31 2.070180654525757
10 42 2.1391942501068115
10 54 2.2213573455810547
10 65 2.3964695930480957
10 85 2.485616683959961
11 3 2.5905323028564453
11 25 2.198366641998291
11 45 2.1242334842681885
11 53 2.1284360885620117
11 69 2.10079288482666
11 92 2.186310291290283
12 15 2.3194985389709473
12 30 2.2642505168914795
12 38 2.3852481842041016
12 60 2.2548067569732666
12 73 2.2070655822753906
12 91 2.335326671600342
13 13 2.533637762069702
13 16 2.408313274383545
13 36 2.1090645790100098
13 61 2.301469564437866
13 71 2.249680519104004
13 88 2.1552789211273193
14 4 2.390437126159668
14 22 2.377135992050171
14 41 2.676744222640991
14 56 2.371623992919922
14 77 2.327061176300049
14 81 2.1937694549560547
15 2 2.4986236095428467
15 23 2.4044392108917236
15 40 2.396883010864258
15 57 2.0670251846313477
15 72 2.269534111022949
15 89 2.2317893505096436
16 5 2.2577199935913086
16 30 2.198274612426758
16 43 2.0015554428100586
16 62 2.25689959526062
16 75 2.3210363388061523
16 88 2.2545359134674072
17 2 2.3792271614074707
17 26 2.298264265060425
17 38 2.1969449520111084
17 48 2.1758713722229004
17 65 2.2822089195251465
17 83 2.2757568359375
18 4 1.9837911128997803
18 27 2.3498616218566895
18 34 2.3713622093200684
18 55 2.225341796875
18 70 2.1877548694610596
18 95 2.2744367122650146
19 12 2.1101438999176025
19 25 2.01214861869812
19 35 2.4441769123077393
19 54 2.2857401371002197
19 73 2.216538429260254
19 87 2.4283254146575928
20 11 2.37947154045105
20 21 2.3330962657928467
20 41 2.444291353225708
20 60 2.008960485458374
20 76 2.2945847511291504
20 82 2.103825807571411
21 3 3.1216461658477783
21 24 2.338473081588745
21 37 2.1885111331939697
21 63 2.128605604171753
21 74 2.3765616416931152
21 81 2.1338939666748047
22 13 2.4671242237091064
22 17 2.1557884216308594
22 42 2.1432230472564697
22 49 2.1713788509368896
22 79 2.3721933364868164
22 91 2.4247074127197266
23 6 2.0390875339508057
23 28 2.4139139652252197
23 32 2.1908059120178223
23 61 2.3747384548187256
23 68 2.41606068611145
23 94 2.2825422286987305
24 15 2.552570343017578
24 20 2.250437021255493
24 33 2.2760069370269775
24 59 2.3639166355133057
24 69 2.1672439575195312
24 80 2.6594417095184326
25 9 2.365200996398926
25 23 2.2072055339813232
25 39 2.5499868392944336
25 58 2.0479509830474854
25 78 2.2451624870300293
25 92 1.9662739038467407
26 8 2.5611777305603027
26 29 2.026646137237549
26 36 2.34381365776062
26 51 2.4172205924987793
26 64 2.4777543544769287
26 84 2.574266195297241
27 14 2.0788919925689697
27 19 2.485765218734741
27 44 2.233217239379883
27 53 2.222694158554077
27 67 2.295194149017334
27 89 2.484182119369507
28 7 2.3124938011169434
28 31 2.389112949371338
28 40 2.29160475730896
28 50 2.5134730339050293
28 77 2.082664966583252
28 93 2.0372445583343506
29 0 2.6307244300842285
29 22 2.297603130340576
29 46 2.1348111629486084
29 52 2.3531014919281006
29 72 2.0502147674560547
29 85 2.6565237045288086
30 10 2.312241315841675
30 18 2.418919086456299
30 47 2.5536739826202393
30 56 2.187621593475342
30 71 2.309356451034546
30 86 2.2350711822509766
31 1 2.0783448219299316
31 16 2.5655710697174072
31 45 2.254074811935425
31 57 2.0939738750457764
31 66 2.5993947982788086
31 90 2.2939231395721436
32 7 2.3702828884124756
32 21 2.5693681240081787
32 45 2.235572338104248
32 58 2.182239532470703
32 65 2.26399827003479
32 91 2.019293785095215
33 5 2.4286673069000244
33 19 2.365901231765747
33 32 2.38642954826355
33 60 2.2219014167785645
33 72 2.225815773010254
33 95 2.234280824661255
34 9 2.4957399368286133
34 22 2.0316162109375
34 38 2.3898205757141113
34 55 2.401362419128418
34 66 2.307133674621582
34 86 2.2853212356567383
35 8 2.3310387134552
35 18 2.362055540084839
35 33 2.352332592010498
35 48 2.349205493927002
35 74 2.0277562141418457
35 87 2.6345646381378174
36 14 2.3451993465423584
36 17 2.031667947769165
36 47 2.6781177520751953
36 54 2.3661797046661377
36 69 2.3250956535339355
36 90 2.391645908355713
37 3 2.341062545776367
37 26 2.2334980964660645
37 40 2.4433929920196533
37 51 2.261324405670166
37 73 1.9739588499069214
37 88 2.0836071968078613
38 2 2.9354946613311768
38 29 2.1031157970428467
38 37 2.308849811553955
38 56 2.335287570953369
38 70 2.6762185096740723
38 94 2.6675188541412354
39 0 2.577115774154663
39 28 2.259620189666748
39 39 2.4680910110473633
39 50 2.189228057861328
39 64 2.278991222381592
39 81 2.046354293823242
40 15 2.358328104019165
40 25 2.1582391262054443
40 46 2.361527919769287
40 57 2.1505987644195557
40 68 2.3469278812408447
40 82 2.375643014907837
41 6 2.328730821609497
41 30 2.0298523902893066
41 36 2.1450114250183105
41 52 2.307969808578491
41 76 2.3135757446289062
41 80 2.62209153175354
42 10 2.3063430786132812
42 16 2.108031988143921
42 34 2.4312827587127686
42 53 2.1939241886138916
42 78 2.388936758041382
42 84 2.0979602336883545
43 11 2.4825587272644043
43 31 2.367572546005249
43 44 2.103347063064575
43 49 2.0978548526763916
43 71 2.3456764221191406
43 92 2.250535249710083
44 1 2.259625196456909
44 27 2.353627920150757
44 42 2.274932384490967
44 59 2.181020975112915
44 75 2.223801612854004
44 89 2.2503104209899902
45 13 2.3653721809387207
45 24 2.065091371536255
45 35 2.254794120788574
45 62 2.192068338394165
45 77 2.275857448577881
45 85 2.307487964630127
46 4 2.2184720039367676
46 20 2.3091213703155518
46 43 2.3835678100585938
46 63 1.9494915008544922
46 67 2.5252928733825684
46 83 2.653541088104248
47 12 2.1689224243164062
47 23 2.2397477626800537
47 41 2.21620774269104
47 61 2.24580979347229
47 79 2.187242031097412
47 93 2.0873327255249023
