96 48
0 7 0.7303330302238464
0 19 0.810437798500061
0 35 0.7534993290901184
0 55 0.8236101865768433
0 79 0.738560676574707
0 80 0.8315078616142273
1 5 0.7740353941917419
1 18 0.7948253750801086
1 46 0.7283715605735779
1 51 0.7962026596069336
1 66 0.7279294729232788
1 94 0.8051037788391113
2 9 0.7900577783584595
2 24 0.7395913600921631
2 43 0.628156840801239
2 59 0.7322165369987488
2 70 0.7892711758613586
2 93 0.7901555299758911
3 8 0.8236936926841736
3 27 0.771550178527832
3 39 0.7674816250801086
3 49 0.7580932378768921
3 76 0.8196649551391602
3 90 0.754656970500946
4 1 0.7426141500473022
4 17 0.6523516774177551
4 44 0.7201429605484009
4 58 0.7487689852714539
4 68 0.8722724914550781
4 87 0.8016444444656372
5 14 0.8140608072280884
5 28 0.8034101128578186
5 33 0.7278527021408081
5 63 0.7063395380973816
5 75 0.760197103023529
5 84 0.7611194252967834
6 11 0.8369871973991394
6 20 0.8283038139343262
6 37 0.6883066892623901
6 62 0.7730076909065247
6 64 0.7501238584518433
6 86 0.7898411750793457
7 12 0.7380885481834412
7 26 0.8568592667579651
7 32 0.6668588519096375
7 52 0.715175986289978
7 78 0.847883403301239
7 82 0.6681234240531921
8 6 0.7870600819587708
8 29 0.6572515964508057
8 34 0.8044375777244568
8 50 0.821591854095459
8 74 0.7068974375724792
8 83 0.7819068431854248
9 0 0.8159973621368408
9 21 0.841201901435852
9 47 0.780066728591919
9 48 0.8353341221809387
9 67 0.6604742407798767
9 95 0.7446107864379883
10 10 0.8180131912231445
10 31 0.7088457345962524
10 42 0.7428406476974487
10 54 0.7871080636978149
10 65 0.8116536736488342
10 85 0.8149217367172241
11 3 0.8363989591598511
11 25 0.7452142238616943
11 45 0.7402110695838928
11 53 0.7134160995483398
11 69 0.7169599533081055
11 92 0.7321343421936035
12 15 0.7439064979553223
12 30 0.764056921005249
12 38 0.7980069518089294
12 60 0.7875712513923645
12 73 0.7167935967445374
12 91 0.7663424015045166
13 13 0.8340761661529541
13 16 0.7862251996994019
13 36 0.733306884765625
13 61 0.728660523891449
13 71 0.774178683757782
13 88 0.7283931374549866
14 4 0.7643645405769348
14 22 0.753930926322937
14 41 0.8370322585105896
14 56 0.7171774506568909
14 77 0.7207415699958801
14 81 0.7246330976486206
15 2 0.802191972732544
15 23 0.7910977005958557
15 40 0.7945044040679932
15 57 0.708929717540741
15 72 0.772456169128418
15 89 0.7712702751159668
16 5 0.7588512301445007
16 30 0.7251412868499756
16 43 0.6801809072494507
16 62 0.7659174203872681
16 75 0.7672213912010193
16 88 0.7503092288970947
17 2 0.795257031917572
17 26 0.7662866711616516
17 38 0.7703754901885986
17 48 0.7461745142936707
17 65 0.8193846940994263
17 83 0.8056414127349854
18 4 0.69892817735672
18 27 0.8365610241889954
