96 48
0 7 1.0316377878189087
0 19 1.1240803003311157
0 35 1.0609567165374756
0 55 1.1234766244888306
0 79 1.0128167867660522
0 80 1.1764482259750366
1 5 1.0739392042160034
1 18 1.1182994842529297
1 46 0.9956899285316467
1 51 1.0868167877197266
1 66 1.002629280090332
1 94 1.1089071035385132
2 9 1.097777009010315
2 24 1.0243028402328491
2 43 0.8915709853172302
2 59 1.0352659225463867
2 70 1.106850504875183
2 93 1.1404718160629272
3 8 1.145345687866211
3 27 1.0900036096572876
3 39 1.101205587387085
3 49 1.0703200101852417
3 76 1.138568639755249
3 90 1.1085548400878906
4 1 1.0124517679214478
4 17 0.933003306388855
4 44 0.9996892213821411
4 58 1.0226330757141113
4 68 1.1798667907714844
4 87 1.1144156455993652
5 14 1.1561331748962402
5 28 1.1528149843215942
5 33 0.990260124206543
5 63 0.9987949132919312
5 75 1.1069754362106323
5 84 1.0753021240234375
6 11 1.1869066953659058
6 20 1.1561578512191772
6 37 0.943860650062561
6 62 1.0786385536193848
6 64 1.0746923685073853
6 86 1.0975381135940552
7 12 1.0459216833114624
7 26 1.1940581798553467
7 32 0.985460638999939
7 52 1.020494818687439
7 78 1.2176120281219482
7 82 0.9274690747261047
8 6 1.1911585330963135
8 29 0.9409464597702026
8 34 1.1772465705871582
8 50 1.140712022781372
8 74 1.0502043962478638
8 83 1.1345491409301758
9 0 1.1470969915390015
9 21 1.1220334768295288
9 47 1.0868464708328247
9 48 1.149325966835022
9 67 0.919842004776001
9 95 1.0285471677780151
10 10 1.1347943544387817
10 31 0.9786280393600464
10 42 1.0444287061691284
10 54 1.0633600950241089
10 65 1.096078872680664
10 85 1.1228874921798706
11 3 1.1568939685821533
11 25 1.0550315380096436
11 45 1.002495527267456
11 53 1.0168790817260742
11 69 0.9980252385139465
11 92 1.0244088172912598
12 15 1.0799400806427002
12 30 1.1059578657150269
12 38 1.1130412817001343
12 60 1.0683963298797607
12 73 1.0157887935638428
12 91 1.0884222984313965
13 13 1.1449925899505615
13 16 1.1296988725662231
13 36 1.026711344718933
13 61 1.0693943500518799
13 71 1.052764892578125
13 88 1.0320543050765991
14 4 1.1121840476989746
14 22 1.114253044128418
14 41 1.1752917766571045
14 56 1.0417060852050781
14 77 1.053999423980713
14 81 1.0357863903045654
15 2 1.1326277256011963
15 23 1.0893983840942383
15 40 1.084177017211914
15 57 0.9982741475105286
15 72 1.1000608205795288
15 89 1.0682848691940308
16 5 1.0896425247192383
16 30 1.0216659307479858
16 43 0.9532307386398315
16 62 1.0748978853225708
16 75 1.0897202491760254
16 88 1.0657483339309692
17 2 1.0970816612243652
17 26 1.098189353942871
17 38 1.0543773174285889
17 48 1.0334926843643188
17 65 1.1047495603561401
17 83 1.1191552877426147
18 4 0.9967837929725647
18 27 1.182627558708191
18 34 1.1248157024383545
18 55 1.0546538829803467
18 70 1.0462194681167603
18 95 1.1355814933776855
19 12 1.0018484592437744
19 25 0.963617205619812
19 35 1.1563584804534912
19 54 1.080306053161621
19 73 1.055625557899475
19 87 1.0749754905700684
20 11 1.0990893840789795
20 21 1.1031088829040527
20 41 1.1675746440887451
20 60 1.0116636753082275
20 76 1.0652612447738647
20 82 1.0459827184677124
21 3 1.3241219520568848
21 24 1.0775188207626343
21 37 1.0576963424682617
21 63 1.0362125635147095
21 74 1.1049762964248657
21 81 0.9594944715499878
22 13 1.0885180234909058
22 17 1.0397374629974365
22 42 0.994432806968689
22 49 1.0103859901428223
22 79 1.1101700067520142
22 91 1.1210724115371704
23 6 0.9377928376197815
23 28 1.1438409090042114
23 32 1.0460201501846313
23 61 1.088513970375061
23 68 1.1235692501068115
23 94 1.0620932579040527
24 15 1.1800931692123413
24 20 1.0540308952331543
24 33 1.0508167743682861
24 59 1.0716819763183594
24 69 1.069278359413147
24 80 1.1331846714019775
25 9 1.122927188873291
25 23 1.0897098779678345
25 39 1.1858251094818115
25 58 1.0222820043563843
25 78 1.0601774454116821
25 92 0.9641850590705872
26 8 1.1534595489501953
26 29 0.938412606716156
26 36 1.1016124486923218
26 51 1.0780901908874512
26 64 1.1142046451568604
26 84 1.1766905784606934
27 14 0.9587111473083496
27 19 1.1265771389007568
27 44 1.096081018447876
27 53 1.0700254440307617
27 67 1.0727477073669434
27 89 1.1762713193893433
28 7 1.0870085954666138
28 31 1.1481932401657104
28 40 1.0799248218536377
28 50 1.1761155128479004
28 77 0.9927253127098083
28 93 0.9585956335067749
29 0 1.1624363660812378
29 22 1.0814107656478882
29 46 0.9728303551673889
29 52 1.0820996761322021
29 72 1.0050398111343384
29 85 1.1823230981826782
30 10 1.0549529790878296
30 18 1.0900046825408936
30 47 1.1802343130111694
30 56 1.118712306022644
30 71 1.08366060256958
30 86 1.0158675909042358
31 1 0.9799213409423828
31 16 1.1885223388671875
31 45 1.0780802965164185
31 57 1.00101637840271
31 66 1.136682391166687
31 90 1.0782675743103027
32 7 1.1097792387008667
32 21 1.1351053714752197
32 45 1.0626773834228516
32 58 1.0587319135665894
32 65 1.0330822467803955
32 91 0.9271773099899292
33 5 1.1233766078948975
33 19 1.0419591665267944
33 32 1.0982905626296997
33 60 1.0473417043685913
33 72 1.0634043216705322
33 95 1.031416893005371
34 9 1.168669581413269
34 22 1.022386908531189
34 38 1.152275800704956
34 55 1.1152406930923462
34 66 1.1103357076644897
34 86 1.1380070447921753
35 8 1.0767580270767212
35 18 1.0777173042297363
35 33 1.147416353225708
35 48 1.0853642225265503
35 74 0.998607873916626
35 87 1.248216152191162
36 14 1.0424715280532837
36 17 0.9897361993789673
36 47 1.1311763525009155
36 54 1.0544284582138062
36 69 1.0702213048934937
36 90 1.0486557483673096
37 3 1.0807623863220215
37 26 1.048403263092041
37 40 1.1718589067459106
37 51 1.1437129974365234
37 73 0.9954397082328796
37 88 0.9907842874526978
38 2 1.2068876028060913
38 29 0.9973858594894409
38 37 1.0258429050445557
38 56 1.0110502243041992
38 70 1.1658340692520142
38 94 1.0702300071716309
39 0 1.153591513633728
39 28 1.0422141551971436
39 39 1.124093770980835
39 50 1.033229947090149
39 64 1.0796574354171753
39 81 1.0585811138153076
40 15 1.0541003942489624
40 25 0.9990608096122742
40 46 1.060542345046997
40 57 1.0165932178497314
40 68 1.0160603523254395
40 82 1.0551424026489258
41 6 1.1275813579559326
41 30 1.0025055408477783
41 36 1.0071769952774048
41 52 1.1134592294692993
41 76 1.0971931219100952
41 80 1.2013072967529297
42 10 1.0560448169708252
42 16 0.9951624274253845
42 34 1.1162492036819458
42 53 1.1157705783843994
42 78 1.1182790994644165
42 84 1.0350748300552368
43 11 1.1340258121490479
43 31 1.1426055431365967
43 44 1.0326850414276123
43 49 1.0181514024734497
43 71 1.0854241847991943
43 92 1.1134612560272217
44 1 1.1363015174865723
44 27 1.0689181089401245
44 42 1.1345807313919067
44 59 1.0509192943572998
44 75 1.0473960638046265
44 89 1.0688108205795288
45 13 1.1201391220092773
45 24 1.0323245525360107
45 35 1.0778319835662842
45 62 1.0921138525009155
45 77 1.1139639616012573
45 85 1.0736676454544067
46 4 1.0215116739273071
46 20 1.049525499343872
46 43 1.1048849821090698
46 63 0.8827704787254333
46 67 1.1522960662841797
46 83 1.1868478059768677
47 12 1.0255374908447266
47 23 1.086472511291504
47 41 1.0354653596878052
47 61 1.097751259803772
47 79 1.0587375164031982
47 93 1.0556014776229858
