4 96 48
0 0 9 25.149033546447754
1 0 9 0.9098584055900574
2 0 9 0.868093729019165
3 0 9 0.9608809947967529
0 0 29 25.124120712280273
1 0 29 0.9250427484512329
2 0 29 0.8557161688804626
3 0 29 0.9475401937961578
0 0 39 25.159951210021973
1 0 39 0.9161429703235626
2 0 39 0.8572792112827301
3 0 39 0.9672802090644836
0 1 4 25.229592323303223
1 1 4 0.8950154185295105
2 1 4 0.8149315416812897
3 1 4 0.8470683991909027
0 1 31 25.117329597473145
1 1 31 0.9102749824523926
2 1 31 0.8005101680755615
3 1 31 0.8902150094509125
0 1 44 25.33938217163086
1 1 44 0.891582727432251
2 1 44 0.781346470117569
3 1 44 0.8134301900863647
0 2 15 25.520609855651855
1 2 15 0.9441700279712677
2 2 15 0.8926449418067932
3 2 15 0.9492112100124359
0 2 17 25.29926109313965
1 2 17 0.9382266104221344
2 2 17 0.8816583454608917
3 2 17 0.9429191052913666
0 2 38 25.68582248687744
1 2 38 0.9341822266578674
2 2 38 0.8749096691608429
3 2 38 0.9584084749221802
0 3 11 25.681702613830566
1 3 11 0.9423162937164307
2 3 11 0.9169633388519287
3 3 11 1.0388906002044678
0 3 21 25.653610229492188
1 3 21 0.9696114957332611
2 3 21 0.9152618050575256
3 3 21 1.0431670546531677
0 3 37 25.450581550598145
1 3 37 0.95550537109375
2 3 37 0.9510121643543243
3 3 37 1.0634384751319885
0 4 14 25.232857704162598
1 4 14 0.9010780155658722
2 4 14 0.8086543083190918
3 4 14 0.8247028887271881
0 4 18 24.91368579864502
1 4 18 0.9199199080467224
2 4 18 0.8455986976623535
3 4 18 0.8941181600093842
0 4 46 25.25015926361084
1 4 46 0.8982477784156799
2 4 46 0.79734867811203
3 4 46 0.8270338475704193
0 5 1 25.63789176940918
1 5 1 0.9200903177261353
2 5 1 0.8704241216182709
3 5 1 0.9549509882926941
0 5 16 25.622023582458496
1 5 16 0.9368262887001038
2 5 16 0.8862531781196594
3 5 16 0.9833248853683472
0 5 33 25.540563583374023
1 5 33 0.9502349495887756
2 5 33 0.8694400191307068
3 5 33 0.922454833984375
0 6 8 25.393434524536133
1 6 8 0.9258318543434143
2 6 8 0.8233886063098907
3 6 8 0.865097850561142
0 6 23 25.566913604736328
1 6 23 0.9452446401119232
2 6 23 0.8598215878009796
3 6 23 0.9354623258113861
0 6 41 25.367995262145996
1 6 41 0.9190205037593842
2 6 41 0.8309344947338104
3 6 41 0.8646328151226044
0 7 0 25.61995029449463
1 7 0 0.936481237411499
2 7 0 0.8564854264259338
3 7 0 0.8991630673408508
0 7 28 25.75253391265869
1 7 28 0.9168738424777985
2 7 28 0.8498315513134003
3 7 28 0.8915624022483826
0 7 32 25.34735679626465
1 7 32 0.8949348032474518
2 7 32 0.8272171914577484
3 7 32 0.8595061302185059
0 8 3 25.866095542907715
1 8 3 0.9449582695960999
2 8 3 0.8445446789264679
3 8 3 0.9311560988426208
0 8 26 25.028287887573242
1 8 26 0.9316079914569855
2 8 26 0.8508963286876678
