Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 1, 0.152188, 0.150521, 0.150156, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 
0.5, 1, 0.132031, 0.130677, 0.130104, 0.130052, 0.129948, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 0.129896, 
1, 1, 0.115, 0.112031, 0.111927, 0.111875, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 0.111823, 
1.5, 1, 0.104688, 0.102135, 0.101562, 0.101354, 0.101302, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 0.10125, 
2, 1, 0.0906771, 0.0884375, 0.0876563, 0.0874479, 0.0872396, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 0.0871875, 
2.5, 0.995025, 0.0727094, 0.0699109, 0.0691335, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 0.0690299, 
3, 0.990099, 0.0618812, 0.0580652, 0.0572401, 0.0568791, 0.0568276, 0.056776, 0.056776, 0.056776, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 0.0567244, 
3.5, 0.970874, 0.0564826, 0.0533475, 0.0521339, 0.0517799, 0.0517799, 0.0517799, 0.0517799, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 0.0517294, 
4, 0.970874, 0.0442456, 0.0416161, 0.0407059, 0.0405036, 0.0405036, 0.0404531, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 0.0404025, 
4.5, 0.952381, 0.0358631, 0.0328869, 0.0322421, 0.031994, 0.0319444, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 0.0318948, 
