Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, 
0, 1, 0.152188, 0.150521, 0.150156, 0.15, 0.15, 
0.5, 1, 0.132031, 0.130677, 0.130104, 0.130052, 0.129948, 
1, 1, 0.115, 0.112031, 0.111927, 0.111875, 0.111823, 
1.5, 1, 0.104688, 0.102135, 0.101562, 0.101354, 0.101302, 
2, 1, 0.0906771, 0.0884375, 0.0876563, 0.0874479, 0.0872396, 
2.5, 0.995025, 0.0727094, 0.0699109, 0.0691335, 0.0690299, 0.0690299, 
3, 0.990099, 0.0618812, 0.0580652, 0.0572401, 0.0568791, 0.0568276, 
3.5, 0.970874, 0.0564826, 0.0533475, 0.0521339, 0.0517799, 0.0517799, 
4, 0.970874, 0.0442456, 0.0416161, 0.0407059, 0.0405036, 0.0405036, 
4.5, 0.952381, 0.0358631, 0.0328869, 0.0322421, 0.031994, 0.0319444, 
5, 0.843882, 0.0265032, 0.0237781, 0.0230749, 0.0225914, 0.0225475, 
5.5, 0.754717, 0.0205975, 0.0183176, 0.0170991, 0.0167846, 0.0167846, 
6, 0.687285, 0.0154281, 0.0136741, 0.0127434, 0.0124928, 0.012457, 
6.5, 0.493827, 0.0102109, 0.00838477, 0.00787037, 0.00774177, 0.00766461, 
7, 0.398406, 0.00759462, 0.0063496, 0.00585159, 0.00566484, 0.00564409, 
7.5, 0.249688, 0.00474667, 0.0036803, 0.00323814, 0.0031211, 0.00310809, 
8, 0.174825, 0.00321423, 0.00244937, 0.00224905, 0.002158, 0.00211247, 
8.5, 0.0906618, 0.00154881, 0.00114272, 0.00104356, 0.00101995, 0.00100578, 
9, 0.0475172, 0.000836501, 0.00059644, 0.000546943, 0.000517245, 0.000512295, 
9.5, 0.0256542, 0.000472999, 0.000332703, 0.000293954, 0.000273912, 0.000272576, 
10, 0.0108631, 0.000238195, 0.000148236, 0.00012617, 0.00011542, 0.000113723, 
10.5, 0.00456924, 0.000112803, 6.87765e-05, 5.47356e-05, 5.0214e-05, 4.75962e-05, 
11, 0.00151759, 4.05481e-05, 2.22896e-05, 1.85747e-05, 1.65986e-05, 1.58082e-05, 
11.5, 0.000504185, 1.46003e-05, 7.93041e-06, 5.98719e-06, 5.38322e-06, 5.25192e-06, 
12, 0.000148132, 4.99173e-06, 2.36856e-06, 1.85165e-06, 1.60476e-06, 1.54304e-06, 
